chemist_id,molecule_id,month,units_sold,revenue_INR
CHEM140,MOL04,2025-05,107,4815
CHEM059,MOL02,2025-04,98,3724
CHEM040,MOL03,2025-02,195,4290
CHEM029,MOL01,2025-06,117,1404
CHEM005,MOL02,2025-02,27,1026
CHEM026,MOL05,2025-01,124,992
CHEM013,MOL02,2025-06,21,798
CHEM103,MOL04,2025-02,148,6660
CHEM056,MOL01,2025-02,138,1656
CHEM075,MOL02,2025-06,157,5966
CHEM082,MOL05,2025-05,182,1456
CHEM083,MOL02,2025-03,46,1748
CHEM134,MOL02,2025-04,86,3268
CHEM071,MOL01,2025-05,161,1932
CHEM045,MOL04,2025-05,136,6120
CHEM013,MOL03,2025-06,181,3982
CHEM098,MOL05,2025-03,188,1504
CHEM107,MOL04,2025-02,86,3870
CHEM097,MOL02,2025-05,131,4978
CHEM062,MOL02,2025-03,191,7258
CHEM037,MOL04,2025-01,153,6885
CHEM106,MOL04,2025-05,145,6525
CHEM035,MOL04,2025-02,75,3375
CHEM053,MOL03,2025-06,30,660
CHEM116,MOL03,2025-01,147,3234
CHEM049,MOL01,2025-03,106,1272
CHEM011,MOL01,2025-02,160,1920
CHEM144,MOL02,2025-04,63,2394
CHEM086,MOL03,2025-01,64,1408
CHEM049,MOL01,2025-06,132,1584
CHEM063,MOL05,2025-06,62,496
CHEM102,MOL02,2025-05,92,3496
CHEM073,MOL04,2025-04,146,6570
CHEM092,MOL03,2025-03,102,2244
CHEM132,MOL04,2025-04,35,1575
CHEM121,MOL03,2025-02,104,2288
CHEM081,MOL04,2025-01,154,6930
CHEM057,MOL02,2025-01,76,2888
CHEM142,MOL05,2025-05,194,1552
CHEM107,MOL03,2025-02,60,1320
CHEM085,MOL02,2025-04,155,5890
CHEM063,MOL04,2025-05,177,7965
CHEM087,MOL03,2025-04,195,4290
CHEM126,MOL04,2025-02,197,8865
CHEM091,MOL02,2025-02,194,7372
CHEM140,MOL04,2025-02,148,6660
CHEM016,MOL05,2025-01,29,232
CHEM013,MOL01,2025-04,45,540
CHEM060,MOL01,2025-06,48,576
CHEM003,MOL02,2025-05,126,4788
CHEM096,MOL01,2025-05,173,2076
CHEM124,MOL04,2025-01,11,495
CHEM137,MOL05,2025-04,13,104
CHEM005,MOL05,2025-06,80,640
CHEM138,MOL03,2025-01,138,3036
CHEM111,MOL02,2025-01,34,1292
CHEM135,MOL02,2025-02,59,2242
CHEM135,MOL03,2025-03,78,1716
CHEM102,MOL01,2025-03,113,1356
CHEM118,MOL05,2025-02,188,1504
CHEM058,MOL03,2025-06,30,660
CHEM009,MOL01,2025-04,107,1284
CHEM097,MOL05,2025-04,24,192
CHEM003,MOL02,2025-01,137,5206
CHEM112,MOL03,2025-05,34,748
CHEM136,MOL01,2025-02,64,768
CHEM146,MOL04,2025-03,21,945
CHEM020,MOL03,2025-05,154,3388
CHEM009,MOL02,2025-03,14,532
CHEM054,MOL05,2025-02,192,1536
CHEM102,MOL01,2025-03,51,612
CHEM145,MOL02,2025-05,109,4142
CHEM139,MOL03,2025-04,199,4378
CHEM036,MOL01,2025-05,200,2400
CHEM089,MOL01,2025-01,121,1452
CHEM060,MOL01,2025-03,164,1968
CHEM102,MOL03,2025-01,172,3784
CHEM070,MOL04,2025-04,68,3060
CHEM092,MOL05,2025-04,120,960
CHEM048,MOL05,2025-06,107,856
CHEM022,MOL05,2025-03,73,584
CHEM019,MOL01,2025-03,49,588
CHEM098,MOL02,2025-06,109,4142
CHEM082,MOL03,2025-01,33,726
CHEM002,MOL03,2025-04,102,2244
CHEM070,MOL01,2025-02,32,384
CHEM048,MOL04,2025-04,152,6840
CHEM143,MOL05,2025-04,36,288
CHEM007,MOL01,2025-03,151,1812
CHEM024,MOL05,2025-05,93,744
CHEM099,MOL01,2025-03,115,1380
CHEM100,MOL01,2025-06,153,1836
CHEM063,MOL05,2025-05,53,424
CHEM098,MOL02,2025-02,78,2964
CHEM078,MOL03,2025-04,47,1034
CHEM017,MOL02,2025-04,80,3040
CHEM108,MOL03,2025-04,29,638
CHEM093,MOL03,2025-02,194,4268
CHEM127,MOL05,2025-05,60,480
CHEM118,MOL01,2025-02,87,1044
CHEM002,MOL04,2025-03,168,7560
CHEM098,MOL03,2025-04,95,2090
CHEM111,MOL05,2025-02,86,688
CHEM083,MOL05,2025-06,61,488
CHEM123,MOL03,2025-02,111,2442
CHEM082,MOL03,2025-06,187,4114
CHEM126,MOL05,2025-02,93,744
CHEM097,MOL03,2025-04,103,2266
CHEM030,MOL05,2025-02,161,1288
CHEM140,MOL02,2025-06,150,5700
CHEM007,MOL04,2025-06,63,2835
CHEM113,MOL03,2025-06,27,594
CHEM105,MOL04,2025-02,172,7740
CHEM078,MOL02,2025-03,178,6764
CHEM040,MOL04,2025-04,28,1260
CHEM115,MOL05,2025-04,159,1272
CHEM103,MOL05,2025-05,187,1496
CHEM108,MOL05,2025-01,102,816
CHEM138,MOL05,2025-06,31,248
CHEM028,MOL02,2025-06,180,6840
CHEM091,MOL02,2025-06,166,6308
CHEM012,MOL05,2025-06,183,1464
CHEM103,MOL03,2025-04,37,814
CHEM003,MOL01,2025-03,66,792
CHEM131,MOL05,2025-05,158,1264
CHEM148,MOL02,2025-04,105,3990
CHEM101,MOL04,2025-06,160,7200
CHEM129,MOL02,2025-03,16,608
CHEM124,MOL01,2025-03,116,1392
CHEM022,MOL01,2025-06,46,552
CHEM090,MOL03,2025-03,126,2772
CHEM053,MOL05,2025-04,99,792
CHEM122,MOL01,2025-04,194,2328
CHEM116,MOL03,2025-01,86,1892
CHEM012,MOL01,2025-01,97,1164
CHEM028,MOL02,2025-06,72,2736
CHEM133,MOL02,2025-05,50,1900
CHEM085,MOL05,2025-04,128,1024
CHEM060,MOL04,2025-06,57,2565
CHEM048,MOL04,2025-04,17,765
CHEM051,MOL04,2025-05,119,5355
CHEM100,MOL01,2025-06,64,768
CHEM053,MOL03,2025-06,26,572
CHEM148,MOL01,2025-05,57,684
CHEM094,MOL03,2025-02,127,2794
CHEM030,MOL03,2025-06,135,2970
CHEM136,MOL03,2025-05,109,2398
CHEM101,MOL05,2025-01,99,792
CHEM091,MOL04,2025-05,54,2430
CHEM077,MOL05,2025-05,31,248
CHEM035,MOL03,2025-01,71,1562
CHEM079,MOL01,2025-02,105,1260
CHEM037,MOL05,2025-04,117,936
CHEM036,MOL05,2025-04,118,944
CHEM048,MOL04,2025-06,147,6615
CHEM045,MOL05,2025-02,135,1080
CHEM074,MOL02,2025-02,90,3420
CHEM116,MOL05,2025-01,101,808
CHEM003,MOL04,2025-02,59,2655
CHEM099,MOL05,2025-05,177,1416
CHEM127,MOL04,2025-06,135,6075
CHEM107,MOL04,2025-04,52,2340
CHEM022,MOL05,2025-01,66,528
CHEM075,MOL01,2025-03,67,804
CHEM138,MOL03,2025-02,127,2794
CHEM145,MOL04,2025-05,140,6300
CHEM029,MOL05,2025-01,78,624
CHEM140,MOL03,2025-05,20,440
CHEM113,MOL05,2025-02,118,944
CHEM027,MOL02,2025-03,18,684
CHEM116,MOL03,2025-03,32,704
CHEM113,MOL01,2025-02,63,756
CHEM090,MOL05,2025-06,119,952
CHEM043,MOL05,2025-02,62,496
CHEM053,MOL01,2025-05,99,1188
CHEM137,MOL03,2025-05,147,3234
CHEM044,MOL03,2025-06,84,1848
CHEM075,MOL05,2025-03,141,1128
CHEM025,MOL02,2025-04,25,950
CHEM071,MOL02,2025-06,43,1634
CHEM064,MOL02,2025-06,92,3496
CHEM064,MOL04,2025-04,46,2070
CHEM148,MOL03,2025-06,116,2552
CHEM097,MOL04,2025-01,172,7740
CHEM024,MOL04,2025-05,81,3645
CHEM095,MOL04,2025-04,93,4185
CHEM149,MOL01,2025-06,33,396
CHEM118,MOL03,2025-01,146,3212
CHEM102,MOL02,2025-04,64,2432
CHEM127,MOL03,2025-03,82,1804
CHEM087,MOL05,2025-05,43,344
CHEM145,MOL04,2025-03,184,8280
CHEM013,MOL01,2025-01,170,2040
CHEM118,MOL01,2025-01,50,600
CHEM113,MOL04,2025-01,119,5355
CHEM052,MOL02,2025-06,87,3306
CHEM041,MOL03,2025-01,177,3894
CHEM093,MOL03,2025-01,105,2310
CHEM043,MOL01,2025-04,170,2040
CHEM079,MOL02,2025-04,177,6726
CHEM024,MOL01,2025-01,64,768
CHEM123,MOL01,2025-02,161,1932
CHEM058,MOL05,2025-06,123,984
CHEM003,MOL01,2025-06,97,1164
CHEM031,MOL04,2025-06,43,1935
CHEM123,MOL01,2025-02,108,1296
CHEM023,MOL01,2025-01,90,1080
CHEM095,MOL03,2025-02,107,2354
CHEM035,MOL02,2025-01,145,5510
CHEM145,MOL01,2025-05,176,2112
CHEM043,MOL04,2025-03,194,8730
CHEM055,MOL02,2025-04,167,6346
CHEM114,MOL02,2025-01,35,1330
CHEM036,MOL01,2025-05,196,2352
CHEM099,MOL03,2025-04,90,1980
CHEM036,MOL02,2025-03,175,6650
CHEM022,MOL02,2025-05,163,6194
CHEM073,MOL01,2025-06,87,1044
CHEM053,MOL05,2025-05,140,1120
CHEM049,MOL04,2025-03,175,7875
CHEM014,MOL02,2025-04,108,4104
CHEM029,MOL02,2025-04,173,6574
CHEM019,MOL05,2025-01,102,816
CHEM082,MOL02,2025-04,155,5890
CHEM108,MOL03,2025-05,184,4048
CHEM045,MOL04,2025-01,14,630
CHEM018,MOL01,2025-03,65,780
CHEM011,MOL01,2025-04,139,1668
CHEM074,MOL05,2025-04,118,944
CHEM103,MOL01,2025-06,147,1764
CHEM138,MOL05,2025-02,81,648
CHEM022,MOL03,2025-01,140,3080
CHEM053,MOL02,2025-05,93,3534
CHEM101,MOL05,2025-06,176,1408
CHEM017,MOL03,2025-06,121,2662
CHEM062,MOL01,2025-02,32,384
CHEM112,MOL01,2025-04,166,1992
CHEM015,MOL03,2025-06,199,4378
CHEM045,MOL01,2025-01,191,2292
CHEM036,MOL01,2025-02,137,1644
CHEM089,MOL05,2025-05,194,1552
CHEM067,MOL02,2025-03,42,1596
CHEM069,MOL01,2025-01,95,1140
CHEM110,MOL03,2025-05,26,572
CHEM068,MOL05,2025-06,29,232
CHEM128,MOL04,2025-05,102,4590
CHEM015,MOL04,2025-05,52,2340
CHEM095,MOL02,2025-03,36,1368
CHEM147,MOL01,2025-02,199,2388
CHEM131,MOL01,2025-01,13,156
CHEM063,MOL01,2025-04,103,1236
CHEM099,MOL02,2025-02,19,722
CHEM142,MOL04,2025-02,92,4140
CHEM064,MOL04,2025-06,91,4095
CHEM070,MOL01,2025-05,105,1260
CHEM031,MOL05,2025-06,23,184
CHEM046,MOL02,2025-05,21,798
CHEM103,MOL01,2025-04,82,984
CHEM080,MOL03,2025-01,151,3322
CHEM117,MOL01,2025-03,61,732
CHEM075,MOL05,2025-03,199,1592
CHEM063,MOL04,2025-03,161,7245
CHEM127,MOL02,2025-06,149,5662
CHEM063,MOL02,2025-01,114,4332
CHEM007,MOL02,2025-05,98,3724
CHEM003,MOL03,2025-01,178,3916
CHEM097,MOL03,2025-01,62,1364
CHEM136,MOL02,2025-04,135,5130
CHEM016,MOL02,2025-06,81,3078
CHEM024,MOL01,2025-02,143,1716
CHEM106,MOL03,2025-04,31,682
CHEM149,MOL01,2025-05,44,528
CHEM101,MOL01,2025-05,155,1860
CHEM016,MOL04,2025-06,43,1935
CHEM061,MOL03,2025-03,90,1980
CHEM101,MOL03,2025-03,125,2750
CHEM070,MOL02,2025-01,61,2318
CHEM035,MOL05,2025-01,49,392
CHEM028,MOL02,2025-04,129,4902
CHEM081,MOL04,2025-01,147,6615
CHEM092,MOL02,2025-04,88,3344
CHEM119,MOL03,2025-01,33,726
CHEM041,MOL03,2025-06,188,4136
CHEM011,MOL02,2025-03,47,1786
CHEM024,MOL02,2025-03,111,4218
CHEM132,MOL01,2025-06,86,1032
CHEM067,MOL02,2025-01,113,4294
CHEM116,MOL05,2025-06,150,1200
CHEM064,MOL01,2025-04,36,432
CHEM036,MOL01,2025-01,25,300
CHEM057,MOL02,2025-02,112,4256
CHEM096,MOL01,2025-05,160,1920
CHEM067,MOL01,2025-01,26,312
CHEM051,MOL04,2025-02,33,1485
CHEM085,MOL01,2025-01,128,1536
CHEM013,MOL02,2025-05,120,4560
CHEM102,MOL04,2025-01,107,4815
CHEM110,MOL02,2025-03,64,2432
CHEM048,MOL03,2025-03,124,2728
CHEM039,MOL01,2025-05,168,2016
CHEM063,MOL03,2025-04,115,2530
CHEM141,MOL04,2025-01,32,1440
CHEM072,MOL04,2025-02,117,5265
CHEM052,MOL05,2025-02,171,1368
CHEM140,MOL01,2025-04,192,2304
CHEM092,MOL04,2025-05,134,6030
CHEM089,MOL05,2025-05,92,736
CHEM100,MOL03,2025-02,16,352
CHEM082,MOL05,2025-02,17,136
CHEM072,MOL01,2025-04,145,1740
CHEM092,MOL05,2025-02,50,400
CHEM026,MOL02,2025-06,71,2698
CHEM069,MOL05,2025-06,24,192
CHEM057,MOL05,2025-04,100,800
CHEM045,MOL02,2025-02,161,6118
CHEM082,MOL03,2025-05,17,374
CHEM091,MOL05,2025-05,46,368
CHEM145,MOL02,2025-04,148,5624
CHEM080,MOL02,2025-04,19,722
CHEM024,MOL01,2025-02,164,1968
CHEM057,MOL01,2025-05,132,1584
CHEM001,MOL03,2025-05,61,1342
CHEM034,MOL03,2025-06,55,1210
CHEM083,MOL01,2025-01,47,564
CHEM037,MOL01,2025-05,103,1236
CHEM019,MOL03,2025-06,179,3938
CHEM102,MOL05,2025-01,96,768
CHEM078,MOL03,2025-02,50,1100
CHEM112,MOL04,2025-06,91,4095
CHEM045,MOL05,2025-06,167,1336
CHEM092,MOL02,2025-06,160,6080
CHEM045,MOL04,2025-03,197,8865
CHEM076,MOL02,2025-02,196,7448
CHEM001,MOL05,2025-04,155,1240
CHEM009,MOL02,2025-05,91,3458
CHEM057,MOL05,2025-01,137,1096
CHEM037,MOL03,2025-06,29,638
CHEM061,MOL03,2025-03,52,1144
CHEM023,MOL03,2025-04,12,264
CHEM068,MOL02,2025-02,187,7106
CHEM018,MOL03,2025-03,37,814
CHEM001,MOL01,2025-04,122,1464
CHEM108,MOL02,2025-04,136,5168
CHEM097,MOL03,2025-05,106,2332
CHEM026,MOL04,2025-05,176,7920
CHEM058,MOL02,2025-04,28,1064
CHEM009,MOL03,2025-01,91,2002
CHEM067,MOL01,2025-01,97,1164
CHEM044,MOL04,2025-02,197,8865
CHEM020,MOL05,2025-01,96,768
CHEM124,MOL01,2025-04,177,2124
CHEM043,MOL05,2025-04,50,400
CHEM014,MOL01,2025-03,62,744
CHEM049,MOL04,2025-06,151,6795
CHEM139,MOL03,2025-06,82,1804
CHEM077,MOL02,2025-01,22,836
CHEM101,MOL05,2025-05,135,1080
CHEM040,MOL01,2025-03,10,120
CHEM110,MOL01,2025-03,179,2148
CHEM123,MOL02,2025-01,16,608
CHEM053,MOL02,2025-06,84,3192
CHEM021,MOL04,2025-01,88,3960
CHEM102,MOL04,2025-04,179,8055
CHEM068,MOL01,2025-06,149,1788
CHEM100,MOL02,2025-03,107,4066
CHEM095,MOL02,2025-04,21,798
CHEM068,MOL04,2025-04,77,3465
CHEM058,MOL03,2025-05,25,550
CHEM039,MOL01,2025-01,181,2172
CHEM089,MOL05,2025-04,160,1280
CHEM059,MOL05,2025-01,109,872
CHEM134,MOL04,2025-05,185,8325
CHEM122,MOL05,2025-02,131,1048
CHEM077,MOL01,2025-04,192,2304
CHEM009,MOL05,2025-05,142,1136
CHEM147,MOL05,2025-02,40,320
CHEM115,MOL02,2025-02,64,2432
CHEM050,MOL02,2025-01,118,4484
CHEM021,MOL04,2025-02,170,7650
CHEM038,MOL05,2025-03,91,728
CHEM018,MOL01,2025-04,152,1824
CHEM102,MOL05,2025-03,80,640
CHEM134,MOL04,2025-01,189,8505
CHEM134,MOL04,2025-01,116,5220
CHEM039,MOL02,2025-05,160,6080
CHEM150,MOL01,2025-01,154,1848
CHEM026,MOL03,2025-05,98,2156
CHEM106,MOL03,2025-04,177,3894
CHEM125,MOL05,2025-05,131,1048
CHEM010,MOL02,2025-03,113,4294
CHEM037,MOL05,2025-05,184,1472
CHEM103,MOL01,2025-04,94,1128
CHEM061,MOL01,2025-06,131,1572
CHEM069,MOL03,2025-01,96,2112
CHEM078,MOL03,2025-03,135,2970
CHEM026,MOL02,2025-02,86,3268
CHEM114,MOL03,2025-03,196,4312
CHEM107,MOL05,2025-06,32,256
CHEM049,MOL04,2025-02,114,5130
CHEM125,MOL05,2025-03,24,192
CHEM132,MOL02,2025-01,89,3382
CHEM130,MOL04,2025-02,144,6480
CHEM146,MOL01,2025-02,59,708
CHEM052,MOL01,2025-02,18,216
CHEM117,MOL01,2025-03,190,2280
CHEM051,MOL03,2025-03,128,2816
CHEM130,MOL04,2025-06,41,1845
CHEM008,MOL02,2025-03,135,5130
CHEM115,MOL02,2025-04,160,6080
CHEM142,MOL03,2025-03,51,1122
CHEM067,MOL01,2025-03,17,204
CHEM099,MOL01,2025-02,156,1872
CHEM055,MOL02,2025-06,67,2546
CHEM053,MOL03,2025-06,114,2508
CHEM132,MOL01,2025-06,12,144
CHEM122,MOL02,2025-06,54,2052
CHEM003,MOL02,2025-03,165,6270
CHEM079,MOL03,2025-04,106,2332
CHEM090,MOL04,2025-03,65,2925
CHEM120,MOL03,2025-06,143,3146
CHEM102,MOL05,2025-01,11,88
CHEM131,MOL03,2025-05,175,3850
CHEM073,MOL03,2025-06,37,814
CHEM124,MOL01,2025-03,80,960
CHEM084,MOL03,2025-03,177,3894
CHEM077,MOL02,2025-02,142,5396
CHEM062,MOL01,2025-05,113,1356
CHEM082,MOL02,2025-06,16,608
CHEM128,MOL03,2025-03,117,2574
CHEM104,MOL04,2025-06,19,855
CHEM150,MOL05,2025-02,97,776
CHEM057,MOL05,2025-06,131,1048
CHEM092,MOL05,2025-03,53,424
CHEM143,MOL02,2025-03,34,1292
CHEM121,MOL02,2025-06,76,2888
CHEM144,MOL02,2025-06,95,3610
CHEM023,MOL02,2025-03,67,2546
CHEM079,MOL04,2025-03,105,4725
CHEM067,MOL05,2025-03,128,1024
CHEM031,MOL04,2025-01,172,7740
CHEM150,MOL05,2025-05,28,224
CHEM121,MOL02,2025-05,40,1520
CHEM098,MOL05,2025-03,115,920
CHEM014,MOL02,2025-02,61,2318
CHEM088,MOL04,2025-05,127,5715
CHEM037,MOL03,2025-06,56,1232
CHEM021,MOL04,2025-03,171,7695
CHEM046,MOL03,2025-06,24,528
CHEM002,MOL04,2025-03,63,2835
CHEM044,MOL05,2025-02,135,1080
CHEM023,MOL02,2025-05,121,4598
CHEM110,MOL04,2025-04,132,5940
CHEM099,MOL01,2025-01,146,1752
CHEM052,MOL03,2025-01,92,2024
CHEM136,MOL02,2025-01,183,6954
CHEM002,MOL02,2025-02,187,7106
CHEM089,MOL03,2025-02,36,792
CHEM099,MOL05,2025-05,88,704
CHEM043,MOL01,2025-01,86,1032
CHEM075,MOL04,2025-06,143,6435
CHEM135,MOL03,2025-04,185,4070
CHEM035,MOL03,2025-04,101,2222
CHEM049,MOL02,2025-04,14,532
CHEM059,MOL02,2025-06,43,1634
CHEM055,MOL01,2025-05,139,1668
CHEM044,MOL01,2025-03,192,2304
CHEM010,MOL04,2025-06,75,3375
CHEM137,MOL05,2025-01,162,1296
CHEM013,MOL01,2025-06,15,180
CHEM013,MOL01,2025-04,123,1476
CHEM098,MOL01,2025-05,74,888
CHEM122,MOL02,2025-02,187,7106
CHEM003,MOL03,2025-04,179,3938
CHEM026,MOL05,2025-03,169,1352
CHEM036,MOL04,2025-01,140,6300
CHEM031,MOL03,2025-01,37,814
CHEM128,MOL02,2025-05,61,2318
CHEM068,MOL05,2025-02,101,808
CHEM105,MOL03,2025-02,20,440
CHEM141,MOL04,2025-02,186,8370
CHEM124,MOL03,2025-02,10,220
CHEM004,MOL01,2025-01,156,1872
CHEM127,MOL02,2025-01,140,5320
CHEM020,MOL01,2025-03,174,2088
CHEM060,MOL04,2025-03,77,3465
CHEM119,MOL01,2025-01,54,648
CHEM011,MOL03,2025-03,183,4026
CHEM081,MOL04,2025-06,39,1755
CHEM025,MOL01,2025-01,45,540
CHEM044,MOL03,2025-03,122,2684
CHEM069,MOL01,2025-03,97,1164
CHEM047,MOL01,2025-04,112,1344
CHEM117,MOL03,2025-04,186,4092
CHEM123,MOL04,2025-06,52,2340
CHEM029,MOL02,2025-06,195,7410
