doctor_id,molecule_id,month,alert_type,priority
DOC027,MOL01,2025-02,Rank Collapse,HIGH
DOC043,MOL01,2025-02,Rank Collapse,HIGH
DOC005,MOL01,2025-02,Rank Collapse,HIGH
DOC031,MOL01,2025-02,Rank Collapse,HIGH
DOC045,MOL01,2025-03,Rank Collapse,HIGH
DOC028,MOL01,2025-03,Rank Collapse,HIGH
DOC050,MOL01,2025-03,Rank Collapse,HIGH
DOC046,MOL01,2025-03,Rank Collapse,HIGH
DOC017,MOL01,2025-03,Rank Collapse,HIGH
DOC002,MOL01,2025-03,Rank Collapse,HIGH
DOC029,MOL01,2025-04,Rank Collapse,HIGH
DOC038,MOL01,2025-04,Rank Collapse,HIGH
DOC049,MOL01,2025-04,Rank Collapse,HIGH
DOC035,MOL01,2025-04,Rank Collapse,HIGH
DOC042,MOL01,2025-04,Rank Collapse,HIGH
DOC010,MOL01,2025-04,Rank Collapse,HIGH
DOC023,MOL01,2025-04,Rank Collapse,HIGH
DOC015,MOL01,2025-04,Rank Collapse,HIGH
DOC001,MOL01,2025-04,Rank Collapse,HIGH
DOC026,MOL01,2025-04,Rank Collapse,HIGH
DOC006,MOL01,2025-04,Rank Collapse,HIGH
DOC034,MOL01,2025-04,Rank Collapse,HIGH
DOC022,MOL01,2025-04,Rank Collapse,HIGH
DOC028,MOL01,2025-04,Rank Collapse,HIGH
DOC016,MOL01,2025-05,Rank Collapse,HIGH
DOC011,MOL01,2025-05,Rank Collapse,HIGH
DOC041,MOL01,2025-05,Rank Collapse,HIGH
DOC043,MOL01,2025-05,Rank Collapse,HIGH
DOC029,MOL01,2025-05,Rank Collapse,HIGH
DOC030,MOL01,2025-05,Rank Collapse,HIGH
DOC035,MOL01,2025-05,Rank Collapse,HIGH
DOC032,MOL01,2025-06,Rank Collapse,HIGH
DOC045,MOL01,2025-06,Rank Collapse,HIGH
DOC010,MOL01,2025-06,Rank Collapse,HIGH
DOC023,MOL01,2025-06,Rank Collapse,HIGH
DOC036,MOL01,2025-06,Rank Collapse,HIGH
DOC026,MOL01,2025-06,Rank Collapse,HIGH
DOC028,MOL01,2025-06,Rank Collapse,HIGH
DOC021,MOL01,2025-06,Rank Collapse,HIGH
DOC046,MOL02,2025-02,Rank Collapse,HIGH
DOC020,MOL02,2025-02,Rank Collapse,HIGH
DOC009,MOL02,2025-02,Rank Collapse,HIGH
DOC003,MOL02,2025-02,Rank Collapse,HIGH
DOC026,MOL02,2025-02,Rank Collapse,HIGH
DOC042,MOL02,2025-02,Rank Collapse,HIGH
DOC032,MOL02,2025-02,Rank Collapse,HIGH
DOC021,MOL02,2025-02,Rank Collapse,HIGH
DOC034,MOL02,2025-02,Rank Collapse,HIGH
DOC006,MOL02,2025-02,Rank Collapse,HIGH
DOC005,MOL02,2025-02,Rank Collapse,HIGH
DOC023,MOL02,2025-02,Rank Collapse,HIGH
DOC044,MOL02,2025-02,Rank Collapse,HIGH
DOC048,MOL02,2025-03,Rank Collapse,HIGH
DOC031,MOL02,2025-03,Rank Collapse,HIGH
DOC016,MOL02,2025-03,Rank Collapse,HIGH
DOC013,MOL02,2025-03,Rank Collapse,HIGH
DOC036,MOL02,2025-03,Rank Collapse,HIGH
DOC004,MOL02,2025-03,Rank Collapse,HIGH
DOC007,MOL02,2025-03,Rank Collapse,HIGH
DOC020,MOL02,2025-03,Rank Collapse,HIGH
DOC024,MOL02,2025-03,Rank Collapse,HIGH
DOC029,MOL02,2025-04,Rank Collapse,HIGH
DOC001,MOL02,2025-04,Rank Collapse,HIGH
DOC043,MOL02,2025-04,Rank Collapse,HIGH
DOC046,MOL02,2025-04,Rank Collapse,HIGH
DOC022,MOL02,2025-04,Rank Collapse,HIGH
DOC034,MOL02,2025-04,Rank Collapse,HIGH
DOC006,MOL02,2025-04,Rank Collapse,HIGH
DOC047,MOL02,2025-04,Rank Collapse,HIGH
DOC049,MOL02,2025-04,Rank Collapse,HIGH
DOC002,MOL02,2025-04,Rank Collapse,HIGH
DOC010,MOL02,2025-04,Rank Collapse,HIGH
DOC037,MOL02,2025-04,Rank Collapse,HIGH
DOC027,MOL02,2025-04,Rank Collapse,HIGH
DOC039,MOL02,2025-05,Rank Collapse,HIGH
DOC012,MOL02,2025-05,Rank Collapse,HIGH
DOC041,MOL02,2025-05,Rank Collapse,HIGH
DOC005,MOL02,2025-05,Rank Collapse,HIGH
DOC014,MOL02,2025-05,Rank Collapse,HIGH
DOC030,MOL02,2025-05,Rank Collapse,HIGH
DOC022,MOL02,2025-05,Rank Collapse,HIGH
DOC048,MOL02,2025-05,Rank Collapse,HIGH
DOC023,MOL02,2025-05,Rank Collapse,HIGH
DOC046,MOL02,2025-05,Rank Collapse,HIGH
DOC038,MOL02,2025-05,Rank Collapse,HIGH
DOC043,MOL02,2025-05,Rank Collapse,HIGH
DOC029,MOL02,2025-05,Rank Collapse,HIGH
DOC042,MOL02,2025-06,Rank Collapse,HIGH
DOC039,MOL02,2025-06,Rank Collapse,HIGH
DOC021,MOL02,2025-06,Rank Collapse,HIGH
DOC003,MOL02,2025-06,Rank Collapse,HIGH
DOC009,MOL02,2025-06,Rank Collapse,HIGH
DOC026,MOL02,2025-06,Rank Collapse,HIGH
DOC044,MOL02,2025-06,Rank Collapse,HIGH
DOC035,MOL02,2025-06,Rank Collapse,HIGH
DOC019,MOL02,2025-06,Rank Collapse,HIGH
DOC021,MOL03,2025-02,Rank Collapse,HIGH
DOC020,MOL03,2025-02,Rank Collapse,HIGH
DOC008,MOL03,2025-02,Rank Collapse,HIGH
DOC007,MOL03,2025-02,Rank Collapse,HIGH
DOC010,MOL03,2025-02,Rank Collapse,HIGH
DOC048,MOL03,2025-02,Rank Collapse,HIGH
DOC005,MOL03,2025-02,Rank Collapse,HIGH
DOC037,MOL03,2025-03,Rank Collapse,HIGH
DOC021,MOL03,2025-03,Rank Collapse,HIGH
DOC011,MOL03,2025-03,Rank Collapse,HIGH
DOC031,MOL03,2025-03,Rank Collapse,HIGH
DOC028,MOL03,2025-03,Rank Collapse,HIGH
DOC006,MOL03,2025-03,Rank Collapse,HIGH
DOC023,MOL03,2025-03,Rank Collapse,HIGH
DOC034,MOL03,2025-03,Rank Collapse,HIGH
DOC004,MOL03,2025-03,Rank Collapse,HIGH
DOC003,MOL03,2025-03,Rank Collapse,HIGH
DOC026,MOL03,2025-03,Rank Collapse,HIGH
DOC008,MOL03,2025-04,Rank Collapse,HIGH
DOC009,MOL03,2025-04,Rank Collapse,HIGH
DOC012,MOL03,2025-04,Rank Collapse,HIGH
DOC041,MOL03,2025-04,Rank Collapse,HIGH
DOC046,MOL03,2025-04,Rank Collapse,HIGH
DOC014,MOL03,2025-04,Rank Collapse,HIGH
DOC021,MOL03,2025-04,Rank Collapse,HIGH
DOC011,MOL03,2025-04,Rank Collapse,HIGH
DOC036,MOL03,2025-04,Rank Collapse,HIGH
DOC032,MOL03,2025-04,Rank Collapse,HIGH
DOC042,MOL03,2025-04,Rank Collapse,HIGH
DOC002,MOL03,2025-04,Rank Collapse,HIGH
DOC043,MOL03,2025-05,Rank Collapse,HIGH
DOC031,MOL03,2025-05,Rank Collapse,HIGH
DOC009,MOL03,2025-05,Rank Collapse,HIGH
DOC025,MOL03,2025-05,Rank Collapse,HIGH
DOC027,MOL03,2025-05,Rank Collapse,HIGH
DOC044,MOL03,2025-05,Rank Collapse,HIGH
DOC020,MOL03,2025-05,Rank Collapse,HIGH
DOC033,MOL03,2025-05,Rank Collapse,HIGH
DOC040,MOL03,2025-05,Rank Collapse,HIGH
DOC013,MOL03,2025-05,Rank Collapse,HIGH
DOC045,MOL03,2025-05,Rank Collapse,HIGH
DOC018,MOL03,2025-05,Rank Collapse,HIGH
DOC030,MOL03,2025-05,Rank Collapse,HIGH
DOC015,MOL03,2025-05,Rank Collapse,HIGH
DOC022,MOL03,2025-05,Rank Collapse,HIGH
DOC048,MOL03,2025-05,Rank Collapse,HIGH
DOC010,MOL03,2025-05,Rank Collapse,HIGH
DOC041,MOL03,2025-06,Rank Collapse,HIGH
DOC012,MOL03,2025-06,Rank Collapse,HIGH
DOC006,MOL03,2025-06,Rank Collapse,HIGH
DOC008,MOL03,2025-06,Rank Collapse,HIGH
DOC009,MOL03,2025-06,Rank Collapse,HIGH
DOC035,MOL03,2025-06,Rank Collapse,HIGH
DOC029,MOL03,2025-06,Rank Collapse,HIGH
DOC002,MOL03,2025-06,Rank Collapse,HIGH
DOC020,MOL04,2025-02,Rank Collapse,HIGH
DOC049,MOL04,2025-02,Rank Collapse,HIGH
DOC031,MOL04,2025-02,Rank Collapse,HIGH
DOC018,MOL04,2025-02,Rank Collapse,HIGH
DOC004,MOL04,2025-02,Rank Collapse,HIGH
DOC011,MOL04,2025-02,Rank Collapse,HIGH
DOC047,MOL04,2025-02,Rank Collapse,HIGH
DOC014,MOL04,2025-02,Rank Collapse,HIGH
DOC035,MOL04,2025-03,Rank Collapse,HIGH
DOC025,MOL04,2025-03,Rank Collapse,HIGH
DOC038,MOL04,2025-03,Rank Collapse,HIGH
DOC039,MOL04,2025-03,Rank Collapse,HIGH
DOC001,MOL04,2025-03,Rank Collapse,HIGH
DOC019,MOL04,2025-03,Rank Collapse,HIGH
DOC036,MOL04,2025-03,Rank Collapse,HIGH
DOC005,MOL04,2025-03,Rank Collapse,HIGH
DOC040,MOL04,2025-03,Rank Collapse,HIGH
DOC027,MOL04,2025-03,Rank Collapse,HIGH
DOC013,MOL04,2025-03,Rank Collapse,HIGH
DOC044,MOL04,2025-03,Rank Collapse,HIGH
DOC003,MOL04,2025-03,Rank Collapse,HIGH
DOC026,MOL04,2025-03,Rank Collapse,HIGH
DOC008,MOL04,2025-04,Rank Collapse,HIGH
DOC017,MOL04,2025-04,Rank Collapse,HIGH
DOC034,MOL04,2025-04,Rank Collapse,HIGH
DOC037,MOL04,2025-04,Rank Collapse,HIGH
DOC045,MOL04,2025-04,Rank Collapse,HIGH
DOC050,MOL04,2025-04,Rank Collapse,HIGH
DOC022,MOL04,2025-04,Rank Collapse,HIGH
DOC047,MOL04,2025-04,Rank Collapse,HIGH
DOC018,MOL04,2025-04,Rank Collapse,HIGH
DOC028,MOL04,2025-05,Rank Collapse,HIGH
DOC027,MOL04,2025-05,Rank Collapse,HIGH
DOC013,MOL04,2025-05,Rank Collapse,HIGH
DOC001,MOL04,2025-05,Rank Collapse,HIGH
DOC014,MOL04,2025-05,Rank Collapse,HIGH
DOC020,MOL04,2025-05,Rank Collapse,HIGH
DOC011,MOL04,2025-05,Rank Collapse,HIGH
DOC005,MOL04,2025-05,Rank Collapse,HIGH
DOC010,MOL04,2025-05,Rank Collapse,HIGH
DOC040,MOL04,2025-05,Rank Collapse,HIGH
DOC031,MOL04,2025-05,Rank Collapse,HIGH
DOC022,MOL04,2025-05,Rank Collapse,HIGH
DOC034,MOL04,2025-05,Rank Collapse,HIGH
DOC002,MOL04,2025-06,Rank Collapse,HIGH
DOC050,MOL04,2025-06,Rank Collapse,HIGH
DOC025,MOL04,2025-06,Rank Collapse,HIGH
DOC049,MOL04,2025-06,Rank Collapse,HIGH
DOC017,MOL04,2025-06,Rank Collapse,HIGH
DOC008,MOL04,2025-06,Rank Collapse,HIGH
DOC042,MOL04,2025-06,Rank Collapse,HIGH
DOC016,MOL04,2025-06,Rank Collapse,HIGH
DOC045,MOL04,2025-06,Rank Collapse,HIGH
DOC037,MOL04,2025-06,Rank Collapse,HIGH
DOC004,MOL05,2025-02,Rank Collapse,HIGH
DOC024,MOL05,2025-02,Rank Collapse,HIGH
DOC008,MOL05,2025-02,Rank Collapse,HIGH
DOC019,MOL05,2025-02,Rank Collapse,HIGH
DOC046,MOL05,2025-02,Rank Collapse,HIGH
DOC003,MOL05,2025-02,Rank Collapse,HIGH
DOC012,MOL05,2025-02,Rank Collapse,HIGH
DOC029,MOL05,2025-02,Rank Collapse,HIGH
DOC036,MOL05,2025-02,Rank Collapse,HIGH
DOC035,MOL05,2025-03,Rank Collapse,HIGH
DOC044,MOL05,2025-03,Rank Collapse,HIGH
DOC037,MOL05,2025-03,Rank Collapse,HIGH
DOC045,MOL05,2025-03,Rank Collapse,HIGH
DOC017,MOL05,2025-03,Rank Collapse,HIGH
DOC005,MOL05,2025-03,Rank Collapse,HIGH
DOC039,MOL05,2025-03,Rank Collapse,HIGH
DOC046,MOL05,2025-03,Rank Collapse,HIGH
DOC002,MOL05,2025-04,Rank Collapse,HIGH
DOC048,MOL05,2025-04,Rank Collapse,HIGH
DOC004,MOL05,2025-04,Rank Collapse,HIGH
DOC047,MOL05,2025-04,Rank Collapse,HIGH
DOC007,MOL05,2025-04,Rank Collapse,HIGH
DOC023,MOL05,2025-04,Rank Collapse,HIGH
DOC038,MOL05,2025-04,Rank Collapse,HIGH
DOC037,MOL05,2025-04,Rank Collapse,HIGH
DOC018,MOL05,2025-04,Rank Collapse,HIGH
DOC020,MOL05,2025-04,Rank Collapse,HIGH
DOC003,MOL05,2025-04,Rank Collapse,HIGH
DOC045,MOL05,2025-04,Rank Collapse,HIGH
DOC033,MOL05,2025-04,Rank Collapse,HIGH
DOC006,MOL05,2025-04,Rank Collapse,HIGH
DOC034,MOL05,2025-04,Rank Collapse,HIGH
DOC031,MOL05,2025-05,Rank Collapse,HIGH
DOC017,MOL05,2025-05,Rank Collapse,HIGH
DOC008,MOL05,2025-05,Rank Collapse,HIGH
DOC014,MOL05,2025-05,Rank Collapse,HIGH
DOC048,MOL05,2025-05,Rank Collapse,HIGH
DOC036,MOL05,2025-05,Rank Collapse,HIGH
DOC012,MOL05,2025-05,Rank Collapse,HIGH
DOC005,MOL05,2025-05,Rank Collapse,HIGH
DOC007,MOL05,2025-05,Rank Collapse,HIGH
DOC032,MOL05,2025-05,Rank Collapse,HIGH
DOC047,MOL05,2025-05,Rank Collapse,HIGH
DOC024,MOL05,2025-05,Rank Collapse,HIGH
DOC043,MOL05,2025-05,Rank Collapse,HIGH
DOC041,MOL05,2025-05,Rank Collapse,HIGH
DOC018,MOL05,2025-05,Rank Collapse,HIGH
DOC020,MOL05,2025-05,Rank Collapse,HIGH
DOC046,MOL05,2025-06,Rank Collapse,HIGH
DOC019,MOL05,2025-06,Rank Collapse,HIGH
DOC044,MOL05,2025-06,Rank Collapse,HIGH
DOC029,MOL05,2025-06,Rank Collapse,HIGH
DOC038,MOL05,2025-06,Rank Collapse,HIGH
DOC036,MOL05,2025-06,Rank Collapse,HIGH
DOC050,MOL05,2025-06,Rank Collapse,HIGH
DOC025,MOL05,2025-06,Rank Collapse,HIGH
DOC030,MOL05,2025-06,Rank Collapse,HIGH
DOC027,MOL05,2025-06,Rank Collapse,HIGH
DOC010,MOL05,2025-06,Rank Collapse,HIGH
DOC042,MOL05,2025-06,Rank Collapse,HIGH
DOC002,MOL01,2025-01,New Prescriber,LOW
DOC020,MOL01,2025-01,New Prescriber,LOW
DOC043,MOL01,2025-01,New Prescriber,LOW
DOC005,MOL01,2025-01,New Prescriber,LOW
DOC041,MOL01,2025-01,New Prescriber,LOW
DOC038,MOL01,2025-01,New Prescriber,LOW
DOC016,MOL01,2025-01,New Prescriber,LOW
DOC003,MOL01,2025-01,New Prescriber,LOW
DOC026,MOL01,2025-01,New Prescriber,LOW
DOC045,MOL01,2025-01,New Prescriber,LOW
DOC023,MOL01,2025-01,New Prescriber,LOW
DOC032,MOL01,2025-01,New Prescriber,LOW
DOC030,MOL01,2025-01,New Prescriber,LOW
DOC017,MOL01,2025-01,New Prescriber,LOW
DOC029,MOL01,2025-01,New Prescriber,LOW
DOC031,MOL01,2025-01,New Prescriber,LOW
DOC049,MOL01,2025-01,New Prescriber,LOW
DOC033,MOL01,2025-01,New Prescriber,LOW
DOC015,MOL01,2025-01,New Prescriber,LOW
DOC046,MOL01,2025-01,New Prescriber,LOW
DOC001,MOL01,2025-01,New Prescriber,LOW
DOC027,MOL01,2025-01,New Prescriber,LOW
DOC010,MOL01,2025-01,New Prescriber,LOW
DOC028,MOL01,2025-01,New Prescriber,LOW
DOC007,MOL01,2025-01,New Prescriber,LOW
DOC050,MOL01,2025-01,New Prescriber,LOW
DOC042,MOL01,2025-01,New Prescriber,LOW
DOC014,MOL01,2025-01,New Prescriber,LOW
DOC025,MOL01,2025-01,New Prescriber,LOW
DOC035,MOL01,2025-02,New Prescriber,LOW
DOC021,MOL01,2025-02,New Prescriber,LOW
DOC006,MOL01,2025-02,New Prescriber,LOW
DOC034,MOL01,2025-02,New Prescriber,LOW
DOC022,MOL01,2025-02,New Prescriber,LOW
DOC012,MOL01,2025-02,New Prescriber,LOW
DOC018,MOL01,2025-02,New Prescriber,LOW
DOC024,MOL01,2025-02,New Prescriber,LOW
DOC039,MOL01,2025-02,New Prescriber,LOW
DOC009,MOL01,2025-03,New Prescriber,LOW
DOC048,MOL01,2025-04,New Prescriber,LOW
DOC013,MOL01,2025-04,New Prescriber,LOW
DOC004,MOL01,2025-04,New Prescriber,LOW
DOC047,MOL01,2025-05,New Prescriber,LOW
DOC046,MOL02,2025-01,New Prescriber,LOW
DOC004,MOL02,2025-01,New Prescriber,LOW
DOC031,MOL02,2025-01,New Prescriber,LOW
DOC030,MOL02,2025-01,New Prescriber,LOW
DOC020,MOL02,2025-01,New Prescriber,LOW
DOC050,MOL02,2025-01,New Prescriber,LOW
DOC032,MOL02,2025-01,New Prescriber,LOW
DOC042,MOL02,2025-01,New Prescriber,LOW
DOC039,MOL02,2025-01,New Prescriber,LOW
DOC044,MOL02,2025-01,New Prescriber,LOW
DOC009,MOL02,2025-01,New Prescriber,LOW
DOC048,MOL02,2025-01,New Prescriber,LOW
DOC017,MOL02,2025-01,New Prescriber,LOW
DOC026,MOL02,2025-01,New Prescriber,LOW
DOC003,MOL02,2025-01,New Prescriber,LOW
DOC013,MOL02,2025-01,New Prescriber,LOW
DOC021,MOL02,2025-01,New Prescriber,LOW
DOC022,MOL02,2025-01,New Prescriber,LOW
DOC007,MOL02,2025-01,New Prescriber,LOW
DOC034,MOL02,2025-01,New Prescriber,LOW
DOC015,MOL02,2025-01,New Prescriber,LOW
DOC016,MOL02,2025-01,New Prescriber,LOW
DOC006,MOL02,2025-01,New Prescriber,LOW
DOC008,MOL02,2025-01,New Prescriber,LOW
DOC005,MOL02,2025-01,New Prescriber,LOW
DOC023,MOL02,2025-01,New Prescriber,LOW
DOC036,MOL02,2025-01,New Prescriber,LOW
DOC035,MOL02,2025-01,New Prescriber,LOW
DOC047,MOL02,2025-01,New Prescriber,LOW
DOC011,MOL02,2025-01,New Prescriber,LOW
DOC025,MOL02,2025-01,New Prescriber,LOW
DOC038,MOL02,2025-01,New Prescriber,LOW
DOC002,MOL02,2025-02,New Prescriber,LOW
DOC043,MOL02,2025-02,New Prescriber,LOW
DOC010,MOL02,2025-02,New Prescriber,LOW
DOC001,MOL02,2025-02,New Prescriber,LOW
DOC027,MOL02,2025-02,New Prescriber,LOW
DOC012,MOL02,2025-02,New Prescriber,LOW
DOC041,MOL02,2025-02,New Prescriber,LOW
DOC024,MOL02,2025-02,New Prescriber,LOW
DOC037,MOL02,2025-02,New Prescriber,LOW
DOC029,MOL02,2025-03,New Prescriber,LOW
DOC049,MOL02,2025-03,New Prescriber,LOW
DOC019,MOL02,2025-03,New Prescriber,LOW
DOC033,MOL02,2025-04,New Prescriber,LOW
DOC018,MOL02,2025-05,New Prescriber,LOW
DOC028,MOL02,2025-05,New Prescriber,LOW
DOC045,MOL02,2025-05,New Prescriber,LOW
DOC005,MOL03,2025-01,New Prescriber,LOW
DOC021,MOL03,2025-01,New Prescriber,LOW
DOC048,MOL03,2025-01,New Prescriber,LOW
DOC020,MOL03,2025-01,New Prescriber,LOW
DOC010,MOL03,2025-01,New Prescriber,LOW
DOC030,MOL03,2025-01,New Prescriber,LOW
DOC008,MOL03,2025-01,New Prescriber,LOW
DOC023,MOL03,2025-01,New Prescriber,LOW
DOC028,MOL03,2025-01,New Prescriber,LOW
DOC018,MOL03,2025-01,New Prescriber,LOW
DOC003,MOL03,2025-01,New Prescriber,LOW
DOC026,MOL03,2025-01,New Prescriber,LOW
DOC031,MOL03,2025-01,New Prescriber,LOW
DOC004,MOL03,2025-01,New Prescriber,LOW
DOC038,MOL03,2025-01,New Prescriber,LOW
DOC047,MOL03,2025-01,New Prescriber,LOW
DOC011,MOL03,2025-01,New Prescriber,LOW
DOC043,MOL03,2025-01,New Prescriber,LOW
DOC014,MOL03,2025-01,New Prescriber,LOW
DOC033,MOL03,2025-01,New Prescriber,LOW
DOC012,MOL03,2025-01,New Prescriber,LOW
DOC019,MOL03,2025-01,New Prescriber,LOW
DOC041,MOL03,2025-01,New Prescriber,LOW
DOC007,MOL03,2025-01,New Prescriber,LOW
DOC037,MOL03,2025-01,New Prescriber,LOW
DOC024,MOL03,2025-01,New Prescriber,LOW
DOC009,MOL03,2025-01,New Prescriber,LOW
DOC044,MOL03,2025-01,New Prescriber,LOW
DOC006,MOL03,2025-01,New Prescriber,LOW
DOC040,MOL03,2025-01,New Prescriber,LOW
DOC036,MOL03,2025-01,New Prescriber,LOW
DOC027,MOL03,2025-01,New Prescriber,LOW
DOC035,MOL03,2025-01,New Prescriber,LOW
DOC015,MOL03,2025-01,New Prescriber,LOW
DOC050,MOL03,2025-01,New Prescriber,LOW
DOC016,MOL03,2025-01,New Prescriber,LOW
DOC025,MOL03,2025-01,New Prescriber,LOW
DOC022,MOL03,2025-02,New Prescriber,LOW
DOC034,MOL03,2025-02,New Prescriber,LOW
DOC045,MOL03,2025-02,New Prescriber,LOW
DOC002,MOL03,2025-02,New Prescriber,LOW
DOC001,MOL03,2025-02,New Prescriber,LOW
DOC013,MOL03,2025-02,New Prescriber,LOW
DOC046,MOL03,2025-02,New Prescriber,LOW
DOC032,MOL03,2025-03,New Prescriber,LOW
DOC039,MOL03,2025-03,New Prescriber,LOW
DOC042,MOL03,2025-03,New Prescriber,LOW
DOC004,MOL04,2025-01,New Prescriber,LOW
DOC014,MOL04,2025-01,New Prescriber,LOW
DOC008,MOL04,2025-01,New Prescriber,LOW
DOC020,MOL04,2025-01,New Prescriber,LOW
DOC031,MOL04,2025-01,New Prescriber,LOW
DOC011,MOL04,2025-01,New Prescriber,LOW
DOC035,MOL04,2025-01,New Prescriber,LOW
DOC049,MOL04,2025-01,New Prescriber,LOW
DOC027,MOL04,2025-01,New Prescriber,LOW
DOC019,MOL04,2025-01,New Prescriber,LOW
DOC013,MOL04,2025-01,New Prescriber,LOW
DOC017,MOL04,2025-01,New Prescriber,LOW
DOC025,MOL04,2025-01,New Prescriber,LOW
DOC001,MOL04,2025-01,New Prescriber,LOW
DOC040,MOL04,2025-01,New Prescriber,LOW
DOC009,MOL04,2025-01,New Prescriber,LOW
DOC018,MOL04,2025-01,New Prescriber,LOW
DOC039,MOL04,2025-01,New Prescriber,LOW
DOC010,MOL04,2025-01,New Prescriber,LOW
DOC002,MOL04,2025-01,New Prescriber,LOW
DOC047,MOL04,2025-01,New Prescriber,LOW
DOC034,MOL04,2025-01,New Prescriber,LOW
DOC022,MOL04,2025-01,New Prescriber,LOW
DOC038,MOL04,2025-01,New Prescriber,LOW
DOC050,MOL04,2025-01,New Prescriber,LOW
DOC003,MOL04,2025-01,New Prescriber,LOW
DOC026,MOL04,2025-01,New Prescriber,LOW
DOC036,MOL04,2025-01,New Prescriber,LOW
DOC021,MOL04,2025-01,New Prescriber,LOW
DOC015,MOL04,2025-01,New Prescriber,LOW
DOC006,MOL04,2025-01,New Prescriber,LOW
DOC043,MOL04,2025-01,New Prescriber,LOW
DOC044,MOL04,2025-02,New Prescriber,LOW
DOC023,MOL04,2025-02,New Prescriber,LOW
DOC005,MOL04,2025-02,New Prescriber,LOW
DOC024,MOL04,2025-02,New Prescriber,LOW
DOC032,MOL04,2025-02,New Prescriber,LOW
