chemist_id,name,lat,lon,pincode,area,monthly_footfall,chemist_type
CHEM022,Jai Chemist,19.141486439022042,72.85701587002553,400008,Borivali,567,hospital_attached
CHEM023,Om Chemist,19.051545661652888,72.91283185625878,400004,Powai,620,hospital_attached
CHEM024,Om Medical,19.092818414831733,72.91666548190437,400005,Mulund,448,hospital_attached
CHEM025,Mahalaxmi Medical,19.146361997708922,72.90530094554674,400005,Ghatkopar,957,hospital_attached
CHEM026,Care Medical & General Stores,19.079444889206957,72.85850977286019,400008,Dadar,557,hospital_attached
CHEM027,Apollo Pharmacy,19.135113667151685,72.85169220051563,400006,Chembur,881,hospital_attached
CHEM028,Jai Chemist,19.06694927466861,72.87568012624584,400006,Borivali,814,standalone
CHEM029,Care Chemist,19.143615477416077,72.8896029796675,400004,Mulund,144,chain
CHEM030,Apollo Medical & General Stores,19.107006117008936,72.82971764937707,400007,Mulund,779,hospital_attached
CHEM031,Om Chemist,19.111500722669916,72.91900538501042,400001,Dadar,614,hospital_attached
CHEM032,Krishna Medical,19.06400840152365,72.87183296523636,400008,Bandra,638,chain
CHEM033,Shree Medical & General Stores,19.137737307192793,72.89407686177542,400003,Mulund,991,hospital_attached
CHEM034,Om Medical,19.119701574099526,72.8902484083987,400008,Ghatkopar,446,hospital_attached
CHEM035,Jai Medical & General Stores,19.085949115121977,72.84935918442645,400002,Thane,972,hospital_attached
CHEM036,Wellness Chemist,19.13093611554785,72.90101133946791,400006,Kurla,993,hospital_attached
CHEM037,Shree Drug House,19.136707231858008,72.91132405525565,400002,Borivali,746,hospital_attached
CHEM038,Mahalaxmi Medico,19.101134239886093,72.87015162946872,400002,Mulund,200,hospital_attached
CHEM039,Sai Chemist,19.129829517896678,72.88499639307777,400003,Ghatkopar,129,standalone
CHEM040,Krishna Medical,19.12019668772577,72.8995792669436,400005,Thane,483,chain
CHEM041,Om Medico,19.139000534181754,72.85379951568515,400009,Mulund,679,hospital_attached
CHEM042,Om Medico,19.087558295263996,72.82939819398408,400003,Bandra,724,chain
CHEM043,Care Medical & General Stores,19.107828014099617,72.82359422737967,400004,Kurla,697,standalone
CHEM044,Ganesh Chemist,19.096559801813246,72.87426446347075,400005,Kurla,361,hospital_attached
CHEM045,Shree Chemist,19.07865412521283,72.8790833260569,400005,Chembur,261,standalone
CHEM046,Apollo Pharmacy,19.053050024993905,72.82373481887491,400010,Ghatkopar,754,chain
CHEM047,Mahalaxmi Chemist,19.132260056065963,72.85601906414112,400005,Borivali,493,chain
CHEM048,Sai Medico,19.062706051265188,72.87222432600548,400007,Powai,467,hospital_attached
CHEM049,Mahalaxmi Medical & General Stores,19.12699935530986,72.84158210274968,400005,Andheri,949,hospital_attached
CHEM050,Jai Pharmacy,19.1122890475819,72.82853474649937,400001,Powai,985,hospital_attached
CHEM051,Shree Drug House,19.05516817211686,72.87313546315681,400008,Ghatkopar,894,standalone
CHEM052,Care Pharmacy,19.10406351216101,72.88374299014981,400004,Borivali,735,chain
CHEM053,Om Medical & General Stores,19.122609133372265,72.91758520794626,400002,Andheri,416,chain
CHEM054,Shree Drug House,19.10163003483012,72.85229564729413,400006,Dadar,192,chain
CHEM055,Krishna Medical & General Stores,19.12951861947687,72.8470832251262,400007,Dadar,305,standalone
CHEM056,Wellness Pharmacy,19.093897142070563,72.82784563813422,400009,Chembur,379,standalone
CHEM057,Mahalaxmi Chemist,19.052535074341545,72.9162648414678,400005,Thane,923,standalone
CHEM058,Apollo Medical,19.13359801205122,72.88959742060936,400003,Borivali,980,hospital_attached
CHEM059,Jai Drug House,19.090895294441427,72.83732943200708,400006,Bandra,909,chain
CHEM060,Shree Pharmacy,19.06564370426711,72.84502428981645,400009,Bandra,565,chain
CHEM061,Mahalaxmi Drug House,19.10492266647061,72.89145959227001,400007,Thane,210,hospital_attached
CHEM062,Ganesh Chemist,19.116019737671774,72.8479933896946,400001,Powai,674,chain
CHEM063,Care Medico,19.145486528066318,72.89378969166958,400002,Kurla,817,chain
CHEM064,Jai Medical,19.10543540525114,72.88117207462344,400003,Andheri,138,chain
CHEM065,Apollo Medical,19.09196000624278,72.84477309895011,400002,Borivali,650,standalone
CHEM066,Jai Chemist,19.085597267865126,72.89578461104644,400006,Chembur,529,hospital_attached
CHEM067,Om Chemist,19.051439348862978,72.83160726405069,400002,Kurla,730,chain
CHEM068,Mahalaxmi Medical,19.054600264202175,72.8240728802319,400006,Borivali,554,chain
CHEM069,Ganesh Pharmacy,19.1355460584011,72.890365785938,400002,Thane,657,hospital_attached
CHEM070,Krishna Medical,19.09741738290873,72.8297834160651,400007,Ghatkopar,294,standalone
CHEM071,Apollo Medical,19.099161587511684,72.86734717707806,400004,Powai,121,standalone
CHEM072,Krishna Medico,19.067320186991,72.8633851649238,400003,Powai,310,standalone
CHEM073,Wellness Medico,19.089850473439736,72.88158500980522,400010,Borivali,932,standalone
CHEM074,Krishna Medico,19.113509365086763,72.8245304009772,400010,Andheri,383,standalone
CHEM075,Om Drug House,19.087461261462646,72.88258599157142,400005,Dadar,212,hospital_attached
CHEM076,Shree Medico,19.100313625858007,72.90564898411883,400001,Thane,908,standalone
CHEM077,Care Pharmacy,19.115869363161895,72.83629344270814,400001,Dadar,371,standalone
CHEM078,Om Medical & General Stores,19.057056874740045,72.88424192782063,400007,Chembur,216,hospital_attached
CHEM079,Sai Chemist,19.052651131054162,72.87857755812735,400008,Thane,625,hospital_attached
CHEM080,Sai Chemist,19.144023024142495,72.87754741778758,400009,Borivali,729,standalone
CHEM081,Wellness Pharmacy,19.088816992620654,72.88432882184424,400008,Andheri,162,chain
CHEM082,Jai Chemist,19.095825289049152,72.87456167893158,400002,Kurla,829,chain
CHEM083,Sai Medical,19.14414648087765,72.85861026378008,400006,Powai,251,standalone
CHEM084,Om Pharmacy,19.14611905638239,72.91053506419561,400010,Powai,661,hospital_attached
CHEM085,Krishna Chemist,19.06957911347893,72.8269361300875,400010,Chembur,401,chain
CHEM086,Wellness Drug House,19.060077800137744,72.82182218256514,400007,Bandra,912,hospital_attached
CHEM087,Sai Medical & General Stores,19.059444296075593,72.88830067734163,400009,Borivali,540,chain
CHEM088,Ganesh Chemist,19.057118864846025,72.85189756302937,400006,Kurla,508,chain
CHEM089,Sai Pharmacy,19.134487531096944,72.82232719357357,400007,Thane,781,chain
CHEM090,Krishna Medico,19.131446848258893,72.84818547747733,400008,Bandra,193,standalone
CHEM091,Sai Chemist,19.061816482762165,72.88967371653641,400002,Thane,931,standalone
CHEM092,Wellness Medical,19.11289428467799,72.9077472013527,400010,Chembur,675,chain
CHEM093,Sai Chemist,19.123507104380387,72.90034809303849,400006,Mulund,988,hospital_attached
CHEM094,Shree Pharmacy,19.078203457257132,72.83774395437797,400010,Ghatkopar,460,standalone
CHEM095,Care Drug House,19.125061475164085,72.90068347392673,400004,Dadar,772,chain
CHEM096,Ganesh Medical,19.149050514200066,72.86126176769113,400006,Chembur,476,standalone
CHEM097,Mahalaxmi Drug House,19.087201808579277,72.8976412960742,400004,Mulund,965,hospital_attached
CHEM098,Care Drug House,19.084080354025303,72.91307573256036,400009,Andheri,723,hospital_attached
CHEM099,Mahalaxmi Medical,19.1358412751843,72.8628994027375,400003,Ghatkopar,819,chain
CHEM100,Krishna Pharmacy,19.125087106779148,72.89545428740847,400001,Dadar,990,standalone
CHEM101,Care Medical & General Stores,19.060312386883595,72.91025529066796,400007,Bandra,245,hospital_attached
CHEM102,Shree Medical,19.100525237244785,72.90264574661077,400009,Borivali,485,chain
CHEM103,Apollo Pharmacy,19.08200496010306,72.90955232284962,400003,Thane,419,hospital_attached
CHEM104,Krishna Drug House,19.088920167873415,72.82108376514802,400010,Bandra,153,standalone
CHEM105,Om Drug House,19.140538197641924,72.8291286676786,400001,Bandra,378,chain
CHEM106,Jai Chemist,19.08193136375904,72.91500619670508,400010,Kurla,524,chain
CHEM107,Ganesh Drug House,19.145060714693756,72.87734378881233,400002,Thane,540,standalone
CHEM108,Mahalaxmi Medical & General Stores,19.11318372121698,72.86484455219782,400010,Kurla,639,hospital_attached
CHEM109,Mahalaxmi Medical,19.079321077169805,72.852866454537,400004,Mulund,713,standalone
CHEM110,Shree Medico,19.117251845607704,72.89523745294376,400005,Borivali,885,standalone
CHEM111,Mahalaxmi Pharmacy,19.129157904372583,72.89896181427946,400006,Bandra,107,chain
CHEM112,Jai Medico,19.05912061030487,72.86944203047025,400003,Mulund,645,hospital_attached
CHEM113,Ganesh Drug House,19.055755876001665,72.87495288823237,400009,Thane,173,chain
CHEM114,Shree Chemist,19.094153050137336,72.90877041827584,400001,Kurla,179,chain
CHEM115,Care Chemist,19.085091501255206,72.83170670164276,400010,Mulund,826,hospital_attached
CHEM116,Jai Pharmacy,19.064299168205284,72.89615106317174,400002,Mulund,121,chain
CHEM117,Om Drug House,19.111821806331626,72.83011226761228,400008,Thane,190,chain
CHEM118,Sai Medico,19.0584106806115,72.89009691314591,400007,Powai,510,hospital_attached
CHEM119,Sai Chemist,19.05727630063642,72.90218600592904,400005,Thane,326,chain
CHEM120,Om Medical,19.120624222715648,72.82813487806419,400009,Bandra,643,hospital_attached
CHEM121,Ganesh Pharmacy,19.05848377140852,72.91866395785011,400006,Dadar,341,standalone
CHEM122,Om Pharmacy,19.087427079575612,72.85706421470668,400004,Dadar,716,standalone
CHEM123,Sai Medico,19.13127995672575,72.91472485773839,400008,Kurla,872,hospital_attached
CHEM124,Care Chemist,19.148600106382286,72.89533781852589,400010,Powai,430,hospital_attached
CHEM125,Krishna Medico,19.08762595855309,72.82835007166986,400008,Bandra,580,chain
CHEM126,Mahalaxmi Pharmacy,19.127714691592743,72.87584042497357,400010,Andheri,460,hospital_attached
CHEM127,Sai Pharmacy,19.092422200924698,72.91063543850947,400008,Kurla,138,standalone
CHEM128,Krishna Pharmacy,19.061119748230617,72.86926251042908,400002,Bandra,729,hospital_attached
CHEM129,Wellness Chemist,19.051135364476742,72.86686606419941,400008,Powai,667,hospital_attached
CHEM130,Shree Chemist,19.055630327568185,72.8318817916268,400010,Borivali,429,hospital_attached
CHEM131,Apollo Drug House,19.061752624677712,72.8849210302116,400003,Andheri,561,standalone
CHEM132,Krishna Medical & General Stores,19.12460448792654,72.87833687650972,400002,Chembur,761,standalone
CHEM133,Shree Medico,19.146217254847453,72.85748705795237,400008,Kurla,636,hospital_attached
CHEM134,Care Medico,19.078571208628187,72.90685991281894,400006,Thane,389,chain
CHEM135,Jai Pharmacy,19.072359583851945,72.91632225394406,400010,Andheri,908,hospital_attached
CHEM136,Krishna Medical,19.051215447468984,72.91698788267077,400006,Bandra,671,hospital_attached
CHEM137,Jai Pharmacy,19.054315991195057,72.9091143113698,400005,Powai,994,standalone
CHEM138,Krishna Medical,19.10277011090863,72.91929647961193,400010,Dadar,458,chain
CHEM139,Jai Medico,19.05737965647354,72.87538542844013,400010,Bandra,417,hospital_attached
CHEM140,Jai Medical & General Stores,19.14693025356191,72.87230978441701,400006,Dadar,786,hospital_attached
CHEM141,Wellness Medical,19.112939863813526,72.88957486889846,400007,Chembur,470,standalone
CHEM142,Krishna Pharmacy,19.095454106476776,72.88275580800841,400003,Borivali,449,chain
CHEM143,Ganesh Medico,19.108431431192308,72.9101158010491,400003,Dadar,179,chain
CHEM144,Sai Drug House,19.054544638034148,72.84809631895922,400009,Chembur,138,hospital_attached
CHEM145,Krishna Drug House,19.145041148407653,72.90902637838909,400003,Powai,485,standalone
CHEM146,Om Medico,19.09556567527857,72.88201325978015,400010,Dadar,838,chain
CHEM147,Shree Chemist,19.077738118298115,72.83881211597237,400006,Borivali,554,hospital_attached
CHEM148,Mahalaxmi Medical & General Stores,19.096369840494,72.85533522280261,400008,Borivali,646,standalone
CHEM149,Mahalaxmi Chemist,19.108365611185086,72.82777346369649,400004,Thane,794,hospital_attached
CHEM150,Apollo Chemist,19.147439480766614,72.91862107444796,400005,Mulund,614,hospital_attached
