doctor_id,molecule_id,month,hybrid_score,rank,mom_delta_pct,consecutive_decline,rank_drop_alert,new_prescriber_flag,high_leakage_doctor
DOC025,MOL01,2025-03,27.7820448359758,19,365.73511273642765,0,0,0,0.0
DOC050,MOL01,2025-03,25.082471179632783,20,-37.30718992105221,0,1,0,0.0
DOC033,MOL01,2025-03,24.777556077012186,21,140.72450618123028,0,0,0,1.0
DOC031,MOL01,2025-03,23.935300166379143,22,291.3195772484439,0,0,0,0.0
DOC046,MOL01,2025-03,17.4499019176201,23,-36.38801548690735,0,1,0,1.0
DOC007,MOL01,2025-03,9.26068161199193,24,-54.37696854826834,0,0,0,0.0
DOC012,MOL01,2025-03,7.8359613639931744,25,-34.397482880192406,0,0,0,0.0
DOC017,MOL01,2025-03,6.981129215193918,26,-84.87213112614172,0,1,0,0.0
DOC005,MOL01,2025-03,5.770117004394973,27,-20.637993899869134,1,0,0,0.0
DOC002,MOL01,2025-03,0.0712360123999378,28,-99.92876398760006,0,1,0,0.0
DOC036,MOL01,2025-03,0.0,29,,0,0,0,0.0
DOC048,MOL01,2025-04,100.0,1,,0,0,1,0.0
DOC030,MOL01,2025-04,51.58303002072743,2,9.546276013213197,0,0,0,0.0
DOC041,MOL01,2025-04,51.57836910317874,3,54.312762626729395,0,0,0,0.0
DOC016,MOL01,2025-04,48.10261220980976,4,-20.634297144575733,0,0,0,1.0
DOC032,MOL01,2025-04,44.69219213136487,5,-43.36135010415406,0,0,0,0.0
DOC012,MOL01,2025-04,41.894197952218434,6,434.6401801408234,0,0,0,0.0
DOC013,MOL01,2025-04,36.262798634812285,7,,0,0,1,0.0
DOC029,MOL01,2025-04,35.53218133519852,8,-64.46781866480148,0,1,0,0.0
DOC043,MOL01,2025-04,30.19351988366587,9,-31.172079577797877,0,0,0,0.0
DOC045,MOL01,2025-04,28.664586077044607,10,-11.970227951155232,0,0,0,1.0
DOC036,MOL01,2025-04,27.047781569965878,11,,0,0,0,0.0
DOC038,MOL01,2025-04,23.720136518771334,12,-70.50668145537949,0,1,0,0.0
DOC049,MOL01,2025-04,22.988089976350608,13,-65.11294658154073,0,1,0,1.0
DOC035,MOL01,2025-04,22.824232081911266,14,-73.89148897824937,0,1,0,0.0
DOC042,MOL01,2025-04,20.907020092256666,15,-59.93491995347235,0,1,0,1.0
DOC050,MOL01,2025-04,20.88634654301437,16,-16.72931110562068,1,0,0,0.0
DOC007,MOL01,2025-04,19.880546075085327,17,114.67692021007849,0,0,0,0.0
DOC046,MOL01,2025-04,19.37159252707412,18,11.012615535182967,0,0,0,1.0
DOC020,MOL01,2025-04,18.34470989761093,19,-9.68357314613713,0,0,0,0.0
DOC010,MOL01,2025-04,16.799226510422642,20,-55.11398935733614,0,1,0,0.0
DOC023,MOL01,2025-04,15.854406010662789,21,-53.54024970762269,0,1,0,0.0
DOC033,MOL01,2025-04,15.161137497495616,22,-38.81100520821087,0,0,0,1.0
DOC015,MOL01,2025-04,14.254725903633862,23,-75.64303314249541,0,1,0,1.0
DOC001,MOL01,2025-04,13.199487762962065,24,-78.96933013080553,0,1,0,0.0
DOC026,MOL01,2025-04,8.23042652384548,25,-89.05012493075344,0,1,0,1.0
DOC006,MOL01,2025-04,6.271331058020478,26,-81.22933208367964,0,1,0,0.0
DOC034,MOL01,2025-04,6.271331058020478,26,-81.22933208367964,0,1,0,0.0
DOC024,MOL01,2025-04,5.07679180887372,28,-38.04168869874539,0,0,0,0.0
DOC022,MOL01,2025-04,4.778156996587031,29,-67.52727029378305,0,1,0,0.0
DOC028,MOL01,2025-04,3.984148762259992,30,-86.32438991374916,1,1,0,1.0
DOC039,MOL01,2025-04,3.924914675767919,31,-12.796447011464062,0,0,0,0.0
DOC004,MOL01,2025-04,3.711604095563141,32,,0,0,1,0.0
DOC044,MOL01,2025-04,0.0,33,,0,0,0,0.0
DOC014,MOL01,2025-05,100.0,1,115.54726368159203,0,0,0,0.0
DOC042,MOL01,2025-05,55.24803899618562,2,164.25592338072053,0,0,0,0.0
DOC036,MOL01,2025-05,38.65481252415925,3,42.91306081487264,0,0,0,0.0
DOC026,MOL01,2025-05,36.90421988864255,4,348.38769633289786,0,0,0,1.0
DOC032,MOL01,2025-05,35.65115746103767,5,-20.229561896969972,1,0,0,1.0
DOC045,MOL01,2025-05,31.88987558212904,6,11.25182654448771,0,0,0,1.0
DOC020,MOL01,2025-05,30.769230769230777,7,67.72808586762072,0,0,0,0.0
DOC046,MOL01,2025-05,30.55303978022777,8,57.720846840683016,0,0,0,0.0
DOC016,MOL01,2025-05,29.004166374195968,9,-39.70355238154607,1,1,0,1.0
DOC010,MOL01,2025-05,27.865080368314548,10,65.87121050499786,0,0,0,1.0
DOC028,MOL01,2025-05,27.11818028683743,11,580.6518005480989,0,0,0,1.0
DOC011,MOL01,2025-05,23.46347120216467,12,-76.53652879783533,0,1,0,0.0
DOC041,MOL01,2025-05,22.372122329783288,13,-56.62499082700832,0,1,0,1.0
DOC049,MOL01,2025-05,22.2124072819867,14,-3.374280747821612,0,0,0,0.0
DOC023,MOL01,2025-05,21.59465943481341,15,36.20604531188393,0,0,0,1.0
DOC009,MOL01,2025-05,21.144182450715117,16,-47.92653928631261,0,0,0,0.0
DOC043,MOL01,2025-05,20.49381480456168,17,-32.1251219350267,1,1,0,1.0
DOC050,MOL01,2025-05,20.216758650699195,18,-3.2058641320356926,0,0,0,0.0
DOC015,MOL01,2025-05,19.445330100168,19,36.41321644221116,0,0,0,1.0
DOC029,MOL01,2025-05,18.641463742795505,20,-47.53639365132618,1,1,0,1.0
DOC007,MOL01,2025-05,18.12910707383069,21,-8.809813345366678,0,0,0,0.0
DOC030,MOL01,2025-05,17.988990170773157,22,-65.12614678985568,0,1,0,1.0
DOC033,MOL01,2025-05,17.13267053043703,23,13.003859593431422,0,0,0,0.0
DOC001,MOL01,2025-05,14.63315948582998,24,10.861570908007634,0,0,0,1.0
DOC039,MOL01,2025-05,9.31580981832238,25,137.3506327624745,0,0,0,0.0
DOC047,MOL01,2025-05,7.576343254735214,26,,0,0,1,0.0
DOC022,MOL01,2025-05,2.821801314263625,27,-40.94372963719699,1,0,0,0.0
DOC035,MOL01,2025-05,0.0,28,-100.0,1,1,0,0.0
DOC042,MOL01,2025-06,100.0,1,81.00189946452959,0,0,0,0.0
DOC047,MOL01,2025-06,93.2580179949604,2,1130.9106762906254,0,0,0,0.0
DOC001,MOL01,2025-06,85.19204041842376,3,482.1848692411196,0,0,0,1.0
DOC046,MOL01,2025-06,78.78793984495917,4,157.87267130109373,0,0,0,1.0
DOC043,MOL01,2025-06,78.00860203979562,5,280.644612941617,0,0,0,1.0
DOC030,MOL01,2025-06,73.16169318085608,6,306.70261357817856,0,0,0,1.0
DOC015,MOL01,2025-06,69.00066635965597,7,254.84440739352544,0,0,0,0.0
DOC009,MOL01,2025-06,62.7326252698291,8,196.6897652158096,0,0,0,0.0
DOC029,MOL01,2025-06,57.66854003741777,9,209.35628678678907,0,0,0,0.0
DOC033,MOL01,2025-06,53.2013156399344,10,210.52552808635204,0,0,0,1.0
DOC044,MOL01,2025-06,43.72783530872806,11,,0,0,0,0.0
DOC032,MOL01,2025-06,43.308620077424784,12,21.478861169530834,0,1,0,1.0
DOC016,MOL01,2025-06,40.35828730495653,13,39.14651703577986,0,0,0,1.0
DOC019,MOL01,2025-06,39.27095978687693,14,,0,0,0,0.0
DOC049,MOL01,2025-06,39.16954938362536,15,76.34085710012245,0,0,0,0.0
DOC050,MOL01,2025-06,38.809454029021616,16,91.96674748688952,0,0,0,0.0
DOC041,MOL01,2025-06,36.429880526373296,17,62.83605099850257,0,0,0,1.0
DOC045,MOL01,2025-06,30.736180113118586,18,-3.6177484168579848,0,1,0,1.0
DOC010,MOL01,2025-06,23.61539838610991,19,-15.250923112487996,0,1,0,1.0
DOC007,MOL01,2025-06,19.341157925014333,20,6.685662157808289,0,0,0,0.0
DOC023,MOL01,2025-06,13.580002342073216,21,-37.11407034194538,0,1,0,1.0
DOC036,MOL01,2025-06,9.586486971528844,22,-75.19975820465487,0,1,0,0.0
DOC018,MOL01,2025-06,7.736463170005732,23,-8.79394099578277,0,0,0,0.0
DOC026,MOL01,2025-06,3.733526550231048,24,-89.88319882794742,0,1,0,1.0
DOC031,MOL01,2025-06,3.4477716301112507,25,-85.5954527156748,0,0,0,0.0
DOC028,MOL01,2025-06,2.06627672076904,26,-92.38047428362306,0,1,0,1.0
DOC017,MOL01,2025-06,0.1681839819566469,27,-97.59087710924177,1,0,0,0.0
DOC021,MOL01,2025-06,0.0,28,-100.0,0,1,0,0.0
DOC046,MOL02,2025-01,100.0,1,,0,0,1,1.0
DOC004,MOL02,2025-01,86.75894746268754,2,,0,0,1,0.0
DOC031,MOL02,2025-01,77.93772161474767,3,,0,0,1,1.0
DOC030,MOL02,2025-01,75.59435915653792,4,,0,0,1,1.0
DOC020,MOL02,2025-01,51.96319064739902,5,,0,0,1,0.0
DOC050,MOL02,2025-01,39.51573433262281,6,,0,0,1,0.0
DOC032,MOL02,2025-01,38.67420739689098,7,,0,0,1,1.0
DOC042,MOL02,2025-01,37.97890059859967,8,,0,0,1,1.0
DOC039,MOL02,2025-01,34.82946633948822,9,,0,0,1,0.0
DOC044,MOL02,2025-01,32.94624349982428,10,,0,0,1,0.0
DOC009,MOL02,2025-01,27.23941135833961,11,,0,0,1,1.0
DOC048,MOL02,2025-01,26.247950901602085,12,,0,0,1,1.0
DOC017,MOL02,2025-01,24.99370196538393,13,,0,0,1,0.0
DOC026,MOL02,2025-01,21.61860182360473,14,,0,0,1,1.0
DOC003,MOL02,2025-01,21.248337050824347,15,,0,0,1,1.0
DOC013,MOL02,2025-01,19.16991194019578,16,,0,0,1,0.0
DOC021,MOL02,2025-01,18.974691261282945,17,,0,0,1,1.0
DOC022,MOL02,2025-01,17.26281005050679,18,,0,0,1,1.0
DOC007,MOL02,2025-01,15.213557718059786,19,,0,0,1,0.0
DOC034,MOL02,2025-01,14.630438450894523,20,,0,0,1,1.0
DOC015,MOL02,2025-01,14.620821703070447,21,,0,0,1,0.0
DOC016,MOL02,2025-01,12.33930433229182,22,,0,0,1,0.0
DOC006,MOL02,2025-01,12.263016297503832,23,,0,0,1,1.0
DOC008,MOL02,2025-01,11.16319494896595,24,,0,0,1,0.0
DOC005,MOL02,2025-01,7.7216857760239135,25,,0,0,1,1.0
DOC023,MOL02,2025-01,5.804613174131195,26,,0,0,1,1.0
DOC036,MOL02,2025-01,5.08765079532519,27,,0,0,1,0.0
DOC035,MOL02,2025-01,4.396125444504289,28,,0,0,1,0.0
DOC047,MOL02,2025-01,4.346730776588511,29,,0,0,1,0.0
DOC011,MOL02,2025-01,3.062469410778269,30,,0,0,1,0.0
DOC025,MOL02,2025-01,2.766101403283597,31,,0,0,1,0.0
DOC038,MOL02,2025-01,1.5806293733049124,32,,0,0,1,0.0
DOC014,MOL02,2025-01,0.0,33,,0,0,0,0.0
DOC048,MOL02,2025-02,100.0,1,280.9821207563153,0,0,0,0.0
DOC002,MOL02,2025-02,97.58984553973256,2,,0,0,1,0.0
DOC043,MOL02,2025-02,97.08809826189334,3,,0,0,1,0.0
DOC010,MOL02,2025-02,94.57936187269712,4,,0,0,1,0.0
DOC004,MOL02,2025-02,83.6104894473617,5,-3.628972120345169,0,0,0,1.0
DOC030,MOL02,2025-02,73.83639295570957,6,-2.3255256350384816,0,0,0,0.0
DOC031,MOL02,2025-02,72.45470737464788,7,-7.03512256517167,0,0,0,1.0
DOC013,MOL02,2025-02,67.83112492192117,8,253.84160935915295,0,0,0,0.0
DOC046,MOL02,2025-02,51.89804905770591,9,-48.10195094229409,0,1,0,0.0
DOC039,MOL02,2025-02,46.40266957326036,10,33.22819569202218,0,0,0,0.0
DOC047,MOL02,2025-02,44.90638136661215,11,933.1070331863638,0,0,0,0.0
DOC016,MOL02,2025-02,42.29128577181646,12,242.73638637099378,0,0,0,0.0
DOC001,MOL02,2025-02,41.39415042173746,13,,0,0,1,0.0
DOC036,MOL02,2025-02,40.39065586605898,14,693.8959942606932,0,0,0,0.0
DOC020,MOL02,2025-02,34.36968853198807,15,-33.85762478442339,0,1,0,0.0
DOC038,MOL02,2025-02,30.85745758711338,16,1852.2259998619425,0,0,0,0.0
DOC027,MOL02,2025-02,30.35571030927414,17,,0,0,1,0.0
DOC022,MOL02,2025-02,27.57211369504183,18,59.719730532703075,0,0,0,1.0
DOC009,MOL02,2025-02,27.548092713964365,19,1.1332159552348422,0,1,0,1.0
DOC012,MOL02,2025-02,27.34522664223869,20,,0,0,1,0.0
DOC041,MOL02,2025-02,27.34522664223869,20,,0,0,1,0.0
DOC003,MOL02,2025-02,26.58703788675004,22,25.125264264944313,0,1,0,1.0
DOC026,MOL02,2025-02,25.325602921503133,23,17.147274963225577,0,1,0,1.0
DOC042,MOL02,2025-02,23.23446756857117,24,-38.82269575378953,0,1,0,1.0
DOC032,MOL02,2025-02,22.07712545346695,25,-42.91511852614791,0,1,0,0.0
DOC021,MOL02,2025-02,20.18974365412508,26,6.403542361299963,0,1,0,1.0
DOC024,MOL02,2025-02,18.564649280051952,27,,0,0,1,0.0
DOC034,MOL02,2025-02,15.298814595684917,28,4.568394495036668,0,1,0,0.0
DOC006,MOL02,2025-02,14.718545388221528,29,20.023858984983374,0,1,0,0.0
DOC005,MOL02,2025-02,14.398478635059467,30,86.46807255181523,0,1,0,1.0
DOC037,MOL02,2025-02,9.282324640025978,31,,0,0,1,0.0
DOC011,MOL02,2025-02,8.278830084347492,32,170.33184577159855,0,0,0,0.0
DOC023,MOL02,2025-02,6.55296686467284,33,12.89239554974574,0,1,0,0.0
DOC044,MOL02,2025-02,0.0,34,-100.0,0,1,0,0.0
DOC001,MOL02,2025-03,100.0,1,141.58002756709953,0,0,0,0.0
DOC014,MOL02,2025-03,98.23702252693435,2,,0,0,0,0.0
DOC042,MOL02,2025-03,85.15308278636591,3,266.4946594323982,0,0,0,1.0
DOC030,MOL02,2025-03,63.96470426249905,4,-13.369678959171274,0,0,0,0.0
DOC039,MOL02,2025-03,54.59075198530675,5,17.645714109441652,0,0,0,0.0
DOC015,MOL02,2025-03,41.234084231145935,6,182.023028996288,0,0,0,0.0
DOC043,MOL02,2025-03,36.14103819784524,7,-62.77500657150018,0,0,0,0.0
DOC032,MOL02,2025-03,33.08620185511774,8,49.86643947308795,0,0,0,0.0
DOC029,MOL02,2025-03,33.00685602350637,9,,0,0,1,0.0
DOC049,MOL02,2025-03,32.12536728697356,10,,0,0,1,0.0
DOC008,MOL02,2025-03,31.929480901077373,11,186.02457492722556,0,0,0,0.0
DOC009,MOL02,2025-03,26.76451471571394,12,-2.844400178213511,0,0,0,1.0
DOC047,MOL02,2025-03,25.367286973555338,13,-43.510730097669615,0,0,0,0.0
DOC048,MOL02,2025-03,23.99376207836894,14,-76.00623792163105,0,1,0,1.0
DOC022,MOL02,2025-03,22.07461212557773,15,-19.938629407482424,0,0,0,1.0
DOC031,MOL02,2025-03,18.251679486966346,16,-74.80953253652548,0,1,0,1.0
DOC016,MOL02,2025-03,17.078483215811836,17,-59.61701588369964,0,1,0,1.0
DOC023,MOL02,2025-03,16.071329079811562,18,145.25271394934686,0,0,0,1.0
DOC013,MOL02,2025-03,15.00824471260974,19,-77.87410317920369,0,1,0,1.0
DOC019,MOL02,2025-03,13.614103819784525,20,,0,0,1,0.0
DOC026,MOL02,2025-03,13.08672365474552,21,-48.326112135186264,0,0,0,0.0
DOC034,MOL02,2025-03,13.024799891447508,22,-14.863992827776359,0,0,0,1.0
DOC003,MOL02,2025-03,12.794123942154798,23,-51.878340127047785,0,0,0,0.0
DOC006,MOL02,2025-03,12.575582456843174,24,-14.559610850493787,0,0,0,1.0
DOC011,MOL02,2025-03,12.536728697355532,25,51.43116321541985,0,0,0,0.0
DOC021,MOL02,2025-03,11.699436414783948,26,-42.052575727510195,0,0,0,1.0
DOC044,MOL02,2025-03,11.655239960822724,27,,0,0,0,0.0
DOC036,MOL02,2025-03,11.557296767874632,28,-71.3862116866826,0,1,0,0.0
DOC004,MOL02,2025-03,8.277398169868185,29,-90.10004818225666,0,1,0,0.0
DOC007,MOL02,2025-03,7.8354554358472095,30,-48.49688954381881,0,1,0,0.0
DOC005,MOL02,2025-03,7.492563870697479,31,-47.96280870637599,0,0,0,1.0
DOC020,MOL02,2025-03,6.2683643486777685,32,-81.761940196683,1,1,0,0.0
DOC024,MOL02,2025-03,0.0,33,-100.0,0,1,0,0.0
DOC030,MOL02,2025-04,100.0,1,56.33621878343862,0,0,0,0.0
DOC039,MOL02,2025-04,82.6099307975625,2,51.32587076250055,0,0,0,0.0
DOC035,MOL02,2025-04,82.39741488404546,3,1774.3190094143606,0,0,0,0.0
DOC012,MOL02,2025-04,73.73294445293965,4,169.63734993897754,0,0,0,0.0
DOC041,MOL02,2025-04,73.73294445293965,4,169.63734993897754,0,0,0,0.0
DOC042,MOL02,2025-04,70.86485049687697,6,-16.779465665777014,0,0,0,0.0
DOC024,MOL02,2025-04,67.61684767804144,7,,0,0,0,0.0
DOC005,MOL02,2025-04,67.54542104308328,8,801.4994360908332,0,0,0,0.0
DOC031,MOL02,2025-04,66.62698289319556,9,265.0457643680099,0,0,0,0.0
DOC008,MOL02,2025-04,51.05241891269209,10,59.89116475416757,0,0,0,0.0
DOC048,MOL02,2025-04,48.397464764871685,11,101.70852993705135,0,0,0,1.0
DOC032,MOL02,2025-04,48.35711432710423,12,46.154927479608524,0,0,0,0.0
DOC009,MOL02,2025-04,47.63189663934504,13,77.96659922766868,0,0,0,0.0
DOC029,MOL02,2025-04,46.72018369713918,14,41.546906690739135,0,1,0,0.0
DOC023,MOL02,2025-04,46.7112596291696,15,190.64963698520253,0,0,0,0.0
DOC013,MOL02,2025-04,37.66963214180164,16,150.99292331069262,0,0,0,1.0
DOC001,MOL02,2025-04,37.29120116917109,17,-62.70879883082892,0,1,0,0.0
DOC043,MOL02,2025-04,36.52668907230881,18,1.0670719317813195,0,1,0,0.0
DOC046,MOL02,2025-04,34.29201024873648,19,-33.92427871304587,1,1,0,0.0
DOC022,MOL02,2025-04,32.90106789896421,20,49.04482901804614,0,1,0,0.0
DOC016,MOL02,2025-04,31.447495415043104,21,84.13517768327313,0,0,0,0.0
DOC004,MOL02,2025-04,29.758561154319075,22,259.5158834166965,0,0,0,0.0
DOC003,MOL02,2025-04,27.24346702063224,23,112.93733860799126,0,0,0,1.0
DOC026,MOL02,2025-04,26.813012365974064,24,104.88712892054617,0,0,0,1.0
DOC021,MOL02,2025-04,25.171630377543853,25,115.15250380553219,0,0,0,1.0
DOC025,MOL02,2025-04,24.294495522512367,26,778.2937420035556,0,0,0,0.0
DOC044,MOL02,2025-04,21.74612186630478,27,86.57807080249728,0,0,0,0.0
DOC034,MOL02,2025-04,21.58846162767892,28,65.74889293964956,0,1,0,0.0
DOC006,MOL02,2025-04,21.142480087636084,29,68.12326713448662,0,1,0,0.0
DOC047,MOL02,2025-04,11.72251881855492,30,-53.78883508206728,1,1,0,0.0
DOC049,MOL02,2025-04,7.984904122783789,31,-75.1445514958468,0,1,0,0.0
DOC007,MOL02,2025-04,4.926855735334676,32,-37.12100367779121,1,0,0,0.0
DOC002,MOL02,2025-04,3.9075062728516414,33,-95.99599092380903,0,1,0,0.0
DOC033,MOL02,2025-04,2.3784820791270853,34,,0,0,1,0.0
DOC010,MOL02,2025-04,1.868807347885566,35,-98.02408547606723,0,1,0,0.0
DOC037,MOL02,2025-04,0.5096747312415175,36,-94.50919084381333,0,1,0,0.0
DOC027,MOL02,2025-04,0.0,37,-100.0,0,1,0,0.0
DOC021,MOL02,2025-05,100.0,1,297.2726378868654,0,0,0,0.0
DOC018,MOL02,2025-05,98.75281389759816,2,,0,0,1,0.0
DOC028,MOL02,2025-05,96.50213616150285,3,,0,0,1,0.0
DOC042,MOL02,2025-05,84.25931434818355,4,18.901421166332497,0,0,0,0.0
DOC032,MOL02,2025-05,80.97955191992419,5,67.4615060198806,0,0,0,1.0
DOC007,MOL02,2025-05,65.71978989398363,6,1233.9093617588817,0,0,0,0.0
DOC015,MOL02,2025-05,60.45666657265302,7,46.61818662869058,0,0,0,0.0
DOC004,MOL02,2025-05,58.27860118510828,8,95.83810145555334,0,0,0,0.0
DOC039,MOL02,2025-05,56.35328314226762,9,-31.78388772608633,0,1,0,1.0
DOC011,MOL02,2025-05,45.08280634455569,10,259.6058224827451,0,0,0,0.0
DOC003,MOL02,2025-05,43.5096783744645,11,59.7068329868346,0,0,0,0.0
DOC031,MOL02,2025-05,42.350123754876456,12,-36.43697805922776,0,0,0,1.0
DOC026,MOL02,2025-05,42.35002133573355,13,57.945779301829134,0,0,0,0.0
DOC049,MOL02,2025-05,33.44853373950906,14,318.897124187984,0,0,0,0.0
DOC012,MOL02,2025-05,29.29343638056384,15,-60.27089844586296,0,1,0,0.0
DOC041,MOL02,2025-05,29.29343638056384,15,-60.27089844586296,0,1,0,0.0
DOC009,MOL02,2025-05,28.55705160733945,17,-40.04636887847403,0,0,0,1.0
DOC044,MOL02,2025-05,28.46241690877479,18,30.885024390839956,0,0,0,0.0
