complaint_id,chemist_id,molecule_id,month,complaint_type,resolved
COMP0051,CHEM010,MOL05,2025-06,substituted,0
COMP0052,CHEM045,MOL01,2025-05,unavailable,0
COMP0053,CHEM038,MOL04,2025-04,substituted,1
COMP0054,CHEM118,MOL05,2025-02,overpriced,1
COMP0055,CHEM011,MOL01,2025-03,substituted,0
COMP0056,CHEM038,MOL05,2025-06,overpriced,0
COMP0057,CHEM098,MOL05,2025-06,unavailable,1
COMP0058,CHEM078,MOL04,2025-04,unavailable,0
COMP0059,CHEM066,MOL01,2025-04,unavailable,0
COMP0060,CHEM147,MOL03,2025-03,overpriced,0
COMP0061,CHEM013,MOL03,2025-05,substituted,0
COMP0062,CHEM112,MOL03,2025-06,overpriced,0
COMP0063,CHEM071,MOL05,2025-06,unavailable,1
COMP0064,CHEM047,MOL03,2025-03,unavailable,1
COMP0065,CHEM054,MOL01,2025-04,overpriced,0
COMP0066,CHEM071,MOL03,2025-04,overpriced,1
COMP0067,CHEM025,MOL02,2025-02,unavailable,1
COMP0068,CHEM057,MOL01,2025-05,substituted,1
COMP0069,CHEM108,MOL05,2025-03,overpriced,1
COMP0070,CHEM122,MOL05,2025-01,substituted,1
COMP0071,CHEM082,MOL03,2025-04,unavailable,1
COMP0072,CHEM128,MOL02,2025-05,overpriced,0
COMP0073,CHEM100,MOL03,2025-04,unavailable,0
COMP0074,CHEM125,MOL05,2025-03,unavailable,0
COMP0075,CHEM136,MOL03,2025-03,substituted,1
COMP0076,CHEM116,MOL04,2025-01,unavailable,0
COMP0077,CHEM091,MOL05,2025-04,substituted,0
COMP0078,CHEM073,MOL05,2025-06,substituted,0
COMP0079,CHEM097,MOL05,2025-02,substituted,0
COMP0080,CHEM025,MOL04,2025-02,unavailable,0
COMP0081,CHEM147,MOL03,2025-02,unavailable,1
COMP0082,CHEM141,MOL04,2025-03,unavailable,1
COMP0083,CHEM072,MOL03,2025-03,overpriced,0
COMP0084,CHEM082,MOL05,2025-05,overpriced,1
COMP0085,CHEM058,MOL04,2025-04,substituted,1
COMP0086,CHEM116,MOL02,2025-02,substituted,1
COMP0087,CHEM001,MOL05,2025-03,substituted,0
COMP0088,CHEM026,MOL04,2025-05,overpriced,1
COMP0089,CHEM108,MOL04,2025-02,overpriced,0
COMP0090,CHEM058,MOL02,2025-05,overpriced,0
COMP0091,CHEM147,MOL04,2025-01,substituted,0
COMP0092,CHEM043,MOL05,2025-06,substituted,0
COMP0093,CHEM095,MOL01,2025-06,overpriced,1
COMP0094,CHEM142,MOL05,2025-02,unavailable,1
COMP0095,CHEM095,MOL02,2025-02,substituted,0
COMP0096,CHEM083,MOL02,2025-03,unavailable,0
COMP0097,CHEM053,MOL05,2025-04,substituted,0
COMP0098,CHEM114,MOL02,2025-02,substituted,0
COMP0099,CHEM085,MOL02,2025-02,substituted,0
COMP0100,CHEM002,MOL01,2025-06,overpriced,1
COMP0101,CHEM134,MOL04,2025-04,unavailable,1
COMP0102,CHEM067,MOL05,2025-01,overpriced,0
COMP0103,CHEM113,MOL04,2025-06,unavailable,1
COMP0104,CHEM102,MOL01,2025-03,substituted,1
COMP0105,CHEM110,MOL01,2025-01,unavailable,1
COMP0106,CHEM149,MOL01,2025-06,unavailable,1
COMP0107,CHEM106,MOL03,2025-02,unavailable,1
COMP0108,CHEM054,MOL03,2025-01,substituted,0
COMP0109,CHEM118,MOL04,2025-02,substituted,1
COMP0110,CHEM076,MOL04,2025-03,substituted,1
COMP0111,CHEM146,MOL03,2025-05,unavailable,0
COMP0112,CHEM038,MOL05,2025-03,unavailable,0
COMP0113,CHEM095,MOL05,2025-03,overpriced,1
COMP0114,CHEM079,MOL02,2025-05,overpriced,1
COMP0115,CHEM122,MOL04,2025-06,substituted,0
COMP0116,CHEM033,MOL02,2025-05,substituted,1
COMP0117,CHEM066,MOL02,2025-01,unavailable,1
COMP0118,CHEM038,MOL05,2025-01,substituted,1
COMP0119,CHEM131,MOL05,2025-04,substituted,0
COMP0120,CHEM089,MOL02,2025-05,overpriced,1
COMP0121,CHEM134,MOL03,2025-04,substituted,0
COMP0122,CHEM135,MOL04,2025-02,substituted,1
COMP0123,CHEM004,MOL01,2025-03,unavailable,1
COMP0124,CHEM053,MOL02,2025-02,substituted,0
COMP0125,CHEM051,MOL03,2025-04,substituted,0
COMP0126,CHEM135,MOL02,2025-06,unavailable,1
COMP0127,CHEM009,MOL04,2025-06,unavailable,1
COMP0128,CHEM130,MOL01,2025-03,overpriced,0
COMP0129,CHEM015,MOL04,2025-05,overpriced,0
COMP0130,CHEM063,MOL03,2025-06,unavailable,0
COMP0131,CHEM059,MOL04,2025-02,unavailable,1
COMP0132,CHEM142,MOL03,2025-01,overpriced,0
COMP0133,CHEM017,MOL02,2025-05,substituted,0
COMP0134,CHEM054,MOL02,2025-02,overpriced,1
COMP0135,CHEM119,MOL01,2025-05,unavailable,1
COMP0136,CHEM019,MOL02,2025-04,unavailable,1
COMP0137,CHEM022,MOL04,2025-02,unavailable,0
COMP0138,CHEM125,MOL03,2025-05,unavailable,1
COMP0139,CHEM029,MOL04,2025-06,unavailable,1
COMP0140,CHEM001,MOL03,2025-04,overpriced,1
COMP0141,CHEM127,MOL02,2025-03,overpriced,1
COMP0142,CHEM132,MOL03,2025-06,substituted,1
COMP0143,CHEM137,MOL02,2025-03,substituted,1
COMP0144,CHEM113,MOL01,2025-02,substituted,0
COMP0145,CHEM082,MOL05,2025-04,substituted,0
COMP0146,CHEM046,MOL01,2025-04,overpriced,1
COMP0147,CHEM025,MOL04,2025-03,overpriced,0
COMP0148,CHEM050,MOL01,2025-02,unavailable,1
COMP0149,CHEM129,MOL03,2025-03,overpriced,1
COMP0150,CHEM027,MOL03,2025-05,unavailable,0
COMP0151,CHEM083,MOL02,2025-02,substituted,0
COMP0152,CHEM041,MOL05,2025-06,unavailable,1
COMP0153,CHEM133,MOL04,2025-06,overpriced,1
COMP0154,CHEM069,MOL02,2025-03,substituted,1
COMP0155,CHEM095,MOL02,2025-03,substituted,1
COMP0156,CHEM081,MOL04,2025-03,substituted,1
COMP0157,CHEM107,MOL01,2025-04,unavailable,1
COMP0158,CHEM091,MOL02,2025-04,substituted,0
COMP0159,CHEM052,MOL02,2025-06,overpriced,1
COMP0160,CHEM076,MOL03,2025-01,substituted,1
COMP0161,CHEM098,MOL03,2025-05,overpriced,0
COMP0162,CHEM056,MOL05,2025-05,substituted,1
COMP0163,CHEM028,MOL01,2025-02,unavailable,1
COMP0164,CHEM123,MOL05,2025-04,unavailable,1
COMP0165,CHEM125,MOL02,2025-03,overpriced,1
COMP0166,CHEM016,MOL01,2025-01,overpriced,1
COMP0167,CHEM071,MOL05,2025-03,substituted,1
COMP0168,CHEM029,MOL04,2025-02,overpriced,0
COMP0169,CHEM084,MOL04,2025-02,unavailable,1
COMP0170,CHEM147,MOL02,2025-05,unavailable,1
COMP0171,CHEM063,MOL03,2025-05,overpriced,1
COMP0172,CHEM143,MOL05,2025-03,overpriced,0
COMP0173,CHEM036,MOL01,2025-06,overpriced,1
COMP0174,CHEM093,MOL04,2025-06,unavailable,0
COMP0175,CHEM083,MOL04,2025-02,substituted,1
COMP0176,CHEM086,MOL02,2025-06,overpriced,1
COMP0177,CHEM066,MOL05,2025-06,unavailable,0
COMP0178,CHEM031,MOL04,2025-04,substituted,1
COMP0179,CHEM013,MOL05,2025-01,overpriced,1
COMP0180,CHEM005,MOL05,2025-04,unavailable,1
COMP0181,CHEM138,MOL04,2025-03,overpriced,1
COMP0182,CHEM018,MOL01,2025-05,unavailable,0
COMP0183,CHEM137,MOL02,2025-05,unavailable,1
COMP0184,CHEM049,MOL01,2025-06,substituted,1
COMP0185,CHEM120,MOL04,2025-06,unavailable,1
COMP0186,CHEM019,MOL02,2025-06,overpriced,1
COMP0187,CHEM117,MOL05,2025-06,overpriced,1
COMP0188,CHEM006,MOL04,2025-05,substituted,0
COMP0189,CHEM100,MOL01,2025-01,unavailable,1
COMP0190,CHEM110,MOL02,2025-03,unavailable,1
COMP0191,CHEM137,MOL04,2025-06,overpriced,0
COMP0192,CHEM148,MOL03,2025-06,overpriced,0
COMP0193,CHEM049,MOL02,2025-02,substituted,0
COMP0194,CHEM026,MOL01,2025-05,overpriced,0
COMP0195,CHEM033,MOL05,2025-03,unavailable,1
COMP0196,CHEM081,MOL02,2025-06,unavailable,0
COMP0197,CHEM078,MOL02,2025-04,substituted,0
COMP0198,CHEM056,MOL03,2025-01,unavailable,1
COMP0199,CHEM032,MOL04,2025-01,substituted,0
COMP0200,CHEM098,MOL01,2025-04,substituted,1
