doctor_id,gift_type,gift_value_INR,pre_score,post_score,roi_delta,roi_class,competitor_entrenched
DOC037,Conference,786,,,,Neutral,0
DOC034,Book,3503,,,,Neutral,0
DOC019,CME,3791,,,,Neutral,0
DOC030,CME,2731,,,,Neutral,0
DOC007,CME,994,,,,Neutral,0
DOC015,CME,3972,,,,Neutral,0
DOC029,Conference,3962,,,,Neutral,0
DOC019,Book,3204,,,,Neutral,0
DOC045,Sample Kit,229,,,,Neutral,0
DOC042,Sample Kit,2280,,,,Neutral,0
DOC026,,1477,,,,Neutral,0
DOC015,Book,1896,,,,Neutral,0
DOC003,,241,,,,Neutral,0
DOC013,Sample Kit,1648,,,,Neutral,0
DOC032,Book,4576,,,,Neutral,0
DOC034,Sample Kit,421,,,,Neutral,0
DOC035,Book,3198,,,,Neutral,0
DOC026,Book,245,,,,Neutral,0
DOC022,CME,1141,,,,Neutral,0
DOC006,CME,852,,,,Neutral,0
DOC032,Conference,2485,,,,Neutral,0
DOC002,CME,4526,,,,Neutral,0
DOC004,Conference,4501,,,,Neutral,0
DOC008,Sample Kit,2810,,,,Neutral,0
DOC029,Book,4934,,,,Neutral,0
DOC019,CME,629,,,,Neutral,0
DOC017,Sample Kit,3633,,,,Neutral,0
DOC024,Book,4435,,,,Neutral,0
DOC007,Book,642,,,,Neutral,0
DOC018,CME,489,,,,Neutral,0
DOC040,Conference,3637,,,,Neutral,0
DOC015,,428,,,,Neutral,0
DOC003,Book,4841,,,,Neutral,0
DOC049,CME,894,,,,Neutral,0
DOC025,,4655,,,,Neutral,0
DOC044,Book,4678,,,,Neutral,0
DOC003,Book,4980,,,,Neutral,0
DOC008,Sample Kit,3635,,,,Neutral,0
DOC014,,4517,,,,Neutral,0
DOC005,Book,4054,,,,Neutral,0
DOC012,CME,4533,,,,Neutral,0
DOC033,,3042,,,,Neutral,0
DOC024,Book,255,,,,Neutral,0
DOC031,Book,1597,,,,Neutral,0
DOC019,Sample Kit,3734,,,,Neutral,0
DOC048,Book,652,,,,Neutral,0
DOC036,,1887,,,,Neutral,0
DOC039,CME,667,,,,Neutral,0
DOC011,CME,1035,,,,Neutral,0
DOC027,Conference,1102,,,,Neutral,0
DOC024,Conference,1447,,,,Neutral,0
DOC004,Book,3146,,,,Neutral,0
DOC037,Book,1356,,,,Neutral,0
DOC024,,1033,,,,Neutral,0
DOC019,Conference,2154,,,,Neutral,0
DOC011,,606,,,,Neutral,0
DOC010,Sample Kit,1626,,,,Neutral,0
DOC034,CME,4019,,,,Neutral,0
DOC040,Book,3115,,,,Neutral,0
DOC043,,3940,,,,Neutral,0
DOC007,Conference,2665,,,,Neutral,0
DOC043,Book,930,,,,Neutral,0
DOC045,,3375,,,,Neutral,0
DOC002,CME,4606,,,,Neutral,0
DOC017,Conference,3483,,,,Neutral,0
DOC039,CME,2730,,,,Neutral,0
DOC011,Sample Kit,3062,,,,Neutral,0
DOC002,CME,3095,,,,Neutral,0
DOC013,Book,3518,,,,Neutral,0
DOC015,Book,4368,,,,Neutral,0
DOC016,Book,4477,,,,Neutral,0
DOC029,Sample Kit,3662,,,,Neutral,0
DOC031,Sample Kit,685,,,,Neutral,0
DOC027,,4094,,,,Neutral,0
DOC042,,4544,,,,Neutral,0
DOC048,CME,319,,,,Neutral,0
DOC001,Book,4280,,,,Neutral,0
DOC040,Conference,1725,,,,Neutral,0
DOC048,CME,2602,,,,Neutral,0
DOC045,CME,500,,,,Neutral,0
DOC030,,1851,,,,Neutral,0
DOC041,Conference,4787,,,,Neutral,0
DOC009,,4851,,,,Neutral,0
DOC021,Conference,3864,,,,Neutral,0
DOC020,Conference,3158,,,,Neutral,0
DOC041,Conference,2052,,,,Neutral,0
DOC047,Book,1466,,,,Neutral,0
DOC007,CME,2252,,,,Neutral,0
DOC008,CME,4457,,,,Neutral,0
DOC013,Book,1386,,,,Neutral,0
DOC047,Conference,503,,,,Neutral,0
DOC036,,705,,,,Neutral,0
DOC025,Sample Kit,4628,,,,Neutral,0
DOC045,Book,4740,,,,Neutral,0
DOC010,Book,2364,,,,Neutral,0
